Episode 0, Avg Loss: 69.0000, Reward: 9.0
Episode 10, Avg Loss: 0.0035, Reward: 11.0
Episode 20, Avg Loss: 0.0534, Reward: 10.0
Episode 30, Avg Loss: 0.1026, Reward: 10.0
Episode 40, Avg Loss: 0.0789, Reward: 10.0
Episode 50, Avg Loss: 0.1071, Reward: 13.0
Episode 60, Avg Loss: 0.1353, Reward: 18.0
Episode 70, Avg Loss: 0.1604, Reward: 33.0
Episode 80, Avg Loss: 0.1257, Reward: 97.0
Episode 90, Avg Loss: 0.0907, Reward: 81.0
Episode 100, Avg Loss: 0.0928, Reward: 121.0
Episode 110, Avg Loss: 0.0740, Reward: 93.0
Episode 120, Avg Loss: 0.0816, Reward: 155.0
Episode 130, Avg Loss: 0.0750, Reward: 129.0
Episode 140, Avg Loss: 0.0731, Reward: 185.0
Episode 150, Avg Loss: 0.0749, Reward: 138.0
Episode 160, Avg Loss: 0.0740, Reward: 103.0
Episode 170, Avg Loss: 0.0743, Reward: 83.0
Episode 180, Avg Loss: 0.1160, Reward: 96.0
Episode 190, Avg Loss: 0.1026, Reward: 87.0
Episode 200, Avg Loss: 0.0846, Reward: 96.0
Episode 210, Avg Loss: 0.1206, Reward: 97.0
Episode 220, Avg Loss: 0.1328, Reward: 94.0
Episode 230, Avg Loss: 0.1720, Reward: 17.0
Episode 240, Avg Loss: 0.1369, Reward: 98.0
Episode 250, Avg Loss: 0.1246, Reward: 97.0
Episode 260, Avg Loss: 0.1813, Reward: 98.0
Episode 270, Avg Loss: 0.2095, Reward: 24.0
Episode 280, Avg Loss: 0.1938, Reward: 100.0
Episode 290, Avg Loss: 0.1582, Reward: 101.0
Episode 300, Avg Loss: 0.0593, Reward: 13.0
Episode 310, Avg Loss: 0.1076, Reward: 102.0
Episode 320, Avg Loss: 0.1432, Reward: 101.0
Episode 330, Avg Loss: 0.1000, Reward: 98.0
Episode 340, Avg Loss: 0.1084, Reward: 50.0
Episode 350, Avg Loss: 0.1054, Reward: 108.0
Episode 360, Avg Loss: 0.1466, Reward: 29.0
Episode 370, Avg Loss: 0.0875, Reward: 13.0
Episode 380, Avg Loss: 0.0850, Reward: 102.0
Episode 390, Avg Loss: 0.0256, Reward: 102.0
Episode 400, Avg Loss: 0.0528, Reward: 102.0
Episode 410, Avg Loss: 0.0616, Reward: 101.0
Episode 420, Avg Loss: 0.0851, Reward: 100.0
Episode 430, Avg Loss: 0.0376, Reward: 22.0
Episode 440, Avg Loss: 0.0733, Reward: 90.0
Episode 450, Avg Loss: 0.0722, Reward: 61.0
Episode 460, Avg Loss: 0.0779, Reward: 98.0
Episode 470, Avg Loss: 0.1189, Reward: 96.0
Episode 480, Avg Loss: 0.1361, Reward: 14.0
Episode 490, Avg Loss: 0.0817, Reward: 99.0
Episode 500, Avg Loss: 0.1055, Reward: 108.0
Episode 510, Avg Loss: 0.1101, Reward: 125.0
Episode 520, Avg Loss: 0.0821, Reward: 149.0
Episode 530, Avg Loss: 0.0631, Reward: 13.0
Episode 540, Avg Loss: 0.1160, Reward: 113.0
Episode 550, Avg Loss: 0.0548, Reward: 133.0
Episode 560, Avg Loss: 0.1036, Reward: 123.0
Episode 570, Avg Loss: 0.0588, Reward: 116.0
Episode 580, Avg Loss: 0.0494, Reward: 20.0
Episode 590, Avg Loss: 0.0603, Reward: 149.0
Episode 600, Avg Loss: 0.0768, Reward: 14.0
Episode 610, Avg Loss: 0.1003, Reward: 167.0
Episode 620, Avg Loss: 0.1035, Reward: 175.0
Episode 630, Avg Loss: 0.0846, Reward: 239.0
Episode 640, Avg Loss: 0.1143, Reward: 250.0
Episode 650, Avg Loss: 0.0990, Reward: 180.0
Episode 660, Avg Loss: 0.0934, Reward: 168.0
Episode 670, Avg Loss: 0.1051, Reward: 197.0
Episode 680, Avg Loss: 0.1042, Reward: 191.0
Episode 690, Avg Loss: 0.1275, Reward: 328.0
Episode 700, Avg Loss: 0.1399, Reward: 147.0
Episode 710, Avg Loss: 0.1252, Reward: 377.0
Episode 720, Avg Loss: 0.1661, Reward: 431.0
Episode 730, Avg Loss: 0.2056, Reward: 21.0
Episode 740, Avg Loss: 0.0997, Reward: 33.0
Episode 750, Avg Loss: 0.1548, Reward: 500.0
Episode 760, Avg Loss: 0.1169, Reward: 500.0
Episode 770, Avg Loss: 0.1070, Reward: 500.0
Episode 780, Avg Loss: 0.1087, Reward: 500.0
Episode 790, Avg Loss: 0.0916, Reward: 500.0
Episode 800, Avg Loss: 0.1125, Reward: 500.0
Episode 810, Avg Loss: 0.1203, Reward: 318.0
Episode 820, Avg Loss: 0.1357, Reward: 90.0
Episode 830, Avg Loss: 0.2144, Reward: 24.0
Episode 840, Avg Loss: 0.1603, Reward: 27.0
Episode 850, Avg Loss: 0.4209, Reward: 18.0
Episode 860, Avg Loss: 0.3853, Reward: 97.0
Episode 870, Avg Loss: 0.2547, Reward: 139.0
Episode 880, Avg Loss: 0.3349, Reward: 154.0
Episode 890, Avg Loss: 0.3787, Reward: 199.0
Episode 900, Avg Loss: 0.3252, Reward: 217.0
Episode 910, Avg Loss: 0.3391, Reward: 193.0
Episode 920, Avg Loss: 0.2444, Reward: 66.0
Episode 930, Avg Loss: 0.2321, Reward: 500.0
Episode 940, Avg Loss: 0.2784, Reward: 68.0
Episode 950, Avg Loss: 0.2413, Reward: 58.0
Episode 960, Avg Loss: 0.4682, Reward: 65.0
Episode 970, Avg Loss: 0.4400, Reward: 59.0
Episode 980, Avg Loss: 0.3720, Reward: 144.0
Episode 990, Avg Loss: 0.3473, Reward: 500.0
