Episode 0, Avg Loss: 0.0000, Reward: 10.0
Episode 10, Avg Loss: 0.0060, Reward: 11.0
Episode 20, Avg Loss: 0.0466, Reward: 10.0
Episode 30, Avg Loss: 0.0971, Reward: 9.0
Episode 40, Avg Loss: 0.1059, Reward: 10.0
Episode 50, Avg Loss: 0.1205, Reward: 13.0
Episode 60, Avg Loss: 0.1876, Reward: 25.0
Episode 70, Avg Loss: 0.1978, Reward: 28.0
Episode 80, Avg Loss: 0.2670, Reward: 16.0
Episode 90, Avg Loss: 0.2244, Reward: 30.0
Episode 100, Avg Loss: 0.2275, Reward: 25.0
Episode 110, Avg Loss: 0.1495, Reward: 75.0
Episode 120, Avg Loss: 0.1171, Reward: 88.0
Episode 130, Avg Loss: 0.0803, Reward: 98.0
Episode 140, Avg Loss: 0.0787, Reward: 132.0
Episode 150, Avg Loss: 0.0595, Reward: 147.0
Episode 160, Avg Loss: 0.0790, Reward: 41.0
Episode 170, Avg Loss: 0.0650, Reward: 142.0
Episode 180, Avg Loss: 0.1477, Reward: 64.0
Episode 190, Avg Loss: 0.0255, Reward: 13.0
Episode 200, Avg Loss: 0.1470, Reward: 32.0
Episode 210, Avg Loss: 0.1666, Reward: 64.0
Episode 220, Avg Loss: 0.2160, Reward: 63.0
Episode 230, Avg Loss: 0.2272, Reward: 54.0
Episode 240, Avg Loss: 0.2452, Reward: 97.0
Episode 250, Avg Loss: 0.1223, Reward: 13.0
Episode 260, Avg Loss: 0.2811, Reward: 36.0
Episode 270, Avg Loss: 0.3238, Reward: 101.0
Episode 280, Avg Loss: 0.2430, Reward: 111.0
Episode 290, Avg Loss: 0.3070, Reward: 97.0
Episode 300, Avg Loss: 0.3395, Reward: 119.0
Episode 310, Avg Loss: 0.3191, Reward: 136.0
Episode 320, Avg Loss: 0.3772, Reward: 108.0
Episode 330, Avg Loss: 0.3760, Reward: 33.0
Episode 340, Avg Loss: 0.2059, Reward: 102.0
Episode 350, Avg Loss: 0.2048, Reward: 15.0
Episode 360, Avg Loss: 0.2150, Reward: 97.0
Episode 370, Avg Loss: 0.1598, Reward: 39.0
Episode 380, Avg Loss: 0.1228, Reward: 12.0
Episode 390, Avg Loss: 0.1653, Reward: 102.0
Episode 400, Avg Loss: 0.1895, Reward: 111.0
Episode 410, Avg Loss: 0.1817, Reward: 137.0
Episode 420, Avg Loss: 0.1348, Reward: 72.0
Episode 430, Avg Loss: 0.0134, Reward: 14.0
Episode 440, Avg Loss: 0.1937, Reward: 95.0
Episode 450, Avg Loss: 0.1427, Reward: 97.0
Episode 460, Avg Loss: 0.1180, Reward: 113.0
Episode 470, Avg Loss: 0.0933, Reward: 106.0
Episode 480, Avg Loss: 0.0969, Reward: 117.0
Episode 490, Avg Loss: 0.0605, Reward: 105.0
Episode 500, Avg Loss: 0.0456, Reward: 102.0
Episode 510, Avg Loss: 0.0761, Reward: 39.0
Episode 520, Avg Loss: 0.0952, Reward: 96.0
Episode 530, Avg Loss: 0.0984, Reward: 125.0
Episode 540, Avg Loss: 0.0928, Reward: 102.0
Episode 550, Avg Loss: 0.0392, Reward: 115.0
Episode 560, Avg Loss: 0.0689, Reward: 103.0
Episode 570, Avg Loss: 0.0465, Reward: 108.0
Episode 580, Avg Loss: 0.0378, Reward: 103.0
Episode 590, Avg Loss: 0.0655, Reward: 105.0
Episode 600, Avg Loss: 0.0410, Reward: 112.0
Episode 610, Avg Loss: 0.1511, Reward: 11.0
Episode 620, Avg Loss: 0.0665, Reward: 93.0
Episode 630, Avg Loss: 0.0794, Reward: 109.0
Episode 640, Avg Loss: 0.1616, Reward: 97.0
Episode 650, Avg Loss: 0.0878, Reward: 110.0
Episode 660, Avg Loss: 0.1112, Reward: 103.0
Episode 670, Avg Loss: 0.1926, Reward: 34.0
Episode 680, Avg Loss: 0.1529, Reward: 104.0
Episode 690, Avg Loss: 0.0990, Reward: 141.0
Episode 700, Avg Loss: 0.1366, Reward: 150.0
Episode 710, Avg Loss: 0.0722, Reward: 137.0
Episode 720, Avg Loss: 0.0634, Reward: 139.0
Episode 730, Avg Loss: 0.0919, Reward: 239.0
Episode 740, Avg Loss: 0.0561, Reward: 225.0
Episode 750, Avg Loss: 0.0427, Reward: 500.0
Episode 760, Avg Loss: 0.1235, Reward: 150.0
Episode 770, Avg Loss: 0.1430, Reward: 500.0
Episode 780, Avg Loss: 0.1724, Reward: 178.0
Episode 790, Avg Loss: 0.2611, Reward: 355.0
Episode 800, Avg Loss: 0.0872, Reward: 21.0
Episode 810, Avg Loss: 0.2080, Reward: 108.0
Episode 820, Avg Loss: 0.3115, Reward: 425.0
Episode 830, Avg Loss: 0.3650, Reward: 60.0
Episode 840, Avg Loss: 0.2431, Reward: 500.0
Episode 850, Avg Loss: 0.1896, Reward: 500.0
Episode 860, Avg Loss: 0.1479, Reward: 500.0
Episode 870, Avg Loss: 0.1036, Reward: 500.0
Episode 880, Avg Loss: 0.1092, Reward: 500.0
Episode 890, Avg Loss: 0.1206, Reward: 278.0
Episode 900, Avg Loss: 0.2742, Reward: 98.0
Episode 910, Avg Loss: 0.1745, Reward: 228.0
Episode 920, Avg Loss: 0.2223, Reward: 275.0
Episode 930, Avg Loss: 0.4616, Reward: 63.0
Episode 940, Avg Loss: 0.2984, Reward: 125.0
Episode 950, Avg Loss: 0.2949, Reward: 357.0
Episode 960, Avg Loss: 0.4979, Reward: 16.0
Episode 970, Avg Loss: 0.2858, Reward: 500.0
Episode 980, Avg Loss: 0.3399, Reward: 150.0
Episode 990, Avg Loss: 0.1045, Reward: 20.0
