Episode 0, Avg Loss: 0.0000, Reward: -69947.5953631401
Episode 0 : -69947.5953631401
Episode 10, Avg Loss: 0.0000, Reward: -90140.72535705566
Episode 20, Avg Loss: 0.0000, Reward: -90282.73217773438
Episode 30, Avg Loss: 0.0000, Reward: -81102.26666259766
Episode 40, Avg Loss: 0.0000, Reward: -81364.01513671875
Episode 50, Avg Loss: 0.0000, Reward: -81809.6625366211
Episode 60, Avg Loss: 0.0000, Reward: -91159.20397949219
Episode 70, Avg Loss: 0.0000, Reward: -82655.47802734375
Episode 80, Avg Loss: 0.0000, Reward: -91495.6923828125
Episode 90, Avg Loss: 0.0000, Reward: -83333.01708984375
Episode 100, Avg Loss: 0.0000, Reward: -83670.12841796875
Episode 100 : -83670.12841796875
Episode 110, Avg Loss: 0.0000, Reward: -84151.79089355469
Episode 120, Avg Loss: 0.0000, Reward: -92333.35327148438
Episode 130, Avg Loss: 0.0000, Reward: -85163.45654296875
Episode 140, Avg Loss: 0.0000, Reward: -92718.73486328125
Episode 150, Avg Loss: 0.0000, Reward: -92862.6220703125
Episode 160, Avg Loss: 0.0000, Reward: -93046.3857421875
Episode 170, Avg Loss: 0.0000, Reward: -86541.68310546875
Episode 180, Avg Loss: 0.0000, Reward: -93454.40087890625
Episode 190, Avg Loss: 0.0000, Reward: -93629.6875
Episode 200, Avg Loss: 0.0000, Reward: -81344.00463867188
Episode 200 : -81344.00463867188
Episode 210, Avg Loss: 0.0000, Reward: -94033.19287109375
Episode 220, Avg Loss: 0.0000, Reward: -94217.0830078125
Episode 230, Avg Loss: 0.0000, Reward: -94473.9306640625
Episode 240, Avg Loss: 0.0000, Reward: -94629.58203125
Episode 250, Avg Loss: 0.0000, Reward: -89556.3525390625
Episode 260, Avg Loss: 0.0000, Reward: -90021.24072265625
Episode 270, Avg Loss: 0.0000, Reward: -95232.10595703125
Episode 280, Avg Loss: 0.0000, Reward: -90993.3115234375
Episode 290, Avg Loss: 0.0000, Reward: -91292.8984375
Episode 300, Avg Loss: 0.0000, Reward: -95827.5595703125
Episode 300 : -95827.5595703125
Episode 310, Avg Loss: 0.0000, Reward: -95990.64453125
Episode 320, Avg Loss: 0.0000, Reward: -88568.296875
Episode 330, Avg Loss: 0.0000, Reward: -96365.078125
Episode 340, Avg Loss: 0.0000, Reward: -96503.2880859375
Episode 350, Avg Loss: 0.0000, Reward: -93369.294921875
Episode 360, Avg Loss: 0.0000, Reward: -96834.78662109375
Episode 370, Avg Loss: 0.0000, Reward: -96984.98681640625
Episode 380, Avg Loss: 0.0000, Reward: -97166.5634765625
Episode 390, Avg Loss: 0.0000, Reward: -97365.4189453125
Episode 400, Avg Loss: 0.0000, Reward: -95064.8642578125
Episode 400 : -95064.8642578125
Episode 410, Avg Loss: 0.0000, Reward: -95408.9267578125
Episode 420, Avg Loss: 0.0000, Reward: -97943.68994140625
Episode 430, Avg Loss: 0.0000, Reward: -98118.35302734375
Episode 440, Avg Loss: 0.0000, Reward: -98276.2236328125
Episode 450, Avg Loss: 0.0000, Reward: -98439.845703125
Episode 460, Avg Loss: 0.0000, Reward: -98664.71484375
Episode 470, Avg Loss: 0.0000, Reward: -98804.203125
Episode 480, Avg Loss: 0.0000, Reward: -97981.8486328125
Episode 490, Avg Loss: 0.0000, Reward: -98346.53515625
Episode 500, Avg Loss: 0.0000, Reward: -99325.490234375
Episode 500 : -99325.490234375
Episode 510, Avg Loss: 0.0000, Reward: -99068.9658203125
Episode 520, Avg Loss: 0.0000, Reward: -99407.462890625
Episode 530, Avg Loss: 0.0000, Reward: -99866.673828125
Episode 540, Avg Loss: 0.0000, Reward: -100016.591796875
Episode 550, Avg Loss: 0.0000, Reward: -100202.9287109375
Episode 560, Avg Loss: 0.0000, Reward: -100388.7822265625
Episode 570, Avg Loss: 0.0000, Reward: -100561.3095703125
Episode 580, Avg Loss: 0.0000, Reward: -100744.5439453125
Episode 590, Avg Loss: 0.0000, Reward: -100994.4755859375
Episode 600, Avg Loss: 0.0000, Reward: -101163.19140625
Episode 600 : -101163.19140625
Episode 610, Avg Loss: 0.0000, Reward: -101291.6318359375
Episode 620, Avg Loss: 0.0000, Reward: -101503.4755859375
Episode 630, Avg Loss: 0.0000, Reward: -103280.3642578125
Episode 640, Avg Loss: 0.0000, Reward: -101828.0234375
Episode 650, Avg Loss: 0.0000, Reward: -101978.240234375
Episode 660, Avg Loss: 0.0000, Reward: -104329.5322265625
Episode 670, Avg Loss: 0.0000, Reward: -102375.53515625
Episode 680, Avg Loss: 0.0000, Reward: -102604.138671875
Episode 690, Avg Loss: 0.0000, Reward: -102742.34765625
Episode 700, Avg Loss: 0.0000, Reward: -106061.8193359375
Episode 700 : -106061.8193359375
Episode 710, Avg Loss: 0.0000, Reward: -103216.4091796875
Episode 720, Avg Loss: 0.0000, Reward: -103383.1455078125
