Episode 0, Avg Loss: 1000.0000, Reward: -20.003058898925783, exploration: 0.7000
Episode 100, Avg Loss: 8.3835, Reward: -78.1066396484375, exploration: 0.6683
Episode 200, Avg Loss: 4.6181, Reward: -122.23244921874999, exploration: 0.6381
Episode 300, Avg Loss: 9.3344, Reward: -139.917458984375, exploration: 0.6095
Episode 400, Avg Loss: 11.2436, Reward: -212.36565039062498, exploration: 0.5822
Episode 500, Avg Loss: 12.7129, Reward: -187.01327734375002, exploration: 0.5562
Episode 600, Avg Loss: 14.1257, Reward: -211.0334375, exploration: 0.5315
Episode 700, Avg Loss: 15.5370, Reward: -233.3848125, exploration: 0.5080
Episode 800, Avg Loss: 16.4818, Reward: -294.48630859375, exploration: 0.4857
Episode 900, Avg Loss: 18.4001, Reward: -276.941890625, exploration: 0.4645
Episode 1000, Avg Loss: 18.5016, Reward: -297.20823437499996, exploration: 0.4442
Episode 1100, Avg Loss: 19.4214, Reward: -370.5110703125, exploration: 0.4250
Episode 1200, Avg Loss: 22.2681, Reward: -451.93904687500003, exploration: 0.4067
Episode 1300, Avg Loss: 22.1394, Reward: -226.3909296875, exploration: 0.3893
Episode 1400, Avg Loss: 24.1710, Reward: -369.2732890625, exploration: 0.3728
Episode 1500, Avg Loss: 24.5627, Reward: -314.9762421875, exploration: 0.3570
Episode 1600, Avg Loss: 25.6170, Reward: -404.05128125, exploration: 0.3421
Episode 1700, Avg Loss: 26.7119, Reward: -260.31340625, exploration: 0.3278
Episode 1800, Avg Loss: 25.7456, Reward: -519.91278125, exploration: 0.3143
Episode 1900, Avg Loss: 27.4906, Reward: -450.8413515625, exploration: 0.3014
Episode 2000, Avg Loss: 27.0424, Reward: -282.595734375, exploration: 0.2891
Episode 2100, Avg Loss: 28.4689, Reward: -479.2498203125, exploration: 0.2775
Episode 2200, Avg Loss: 28.7718, Reward: -394.67409375000005, exploration: 0.2664
Episode 2300, Avg Loss: 29.9354, Reward: -405.24, exploration: 0.2558
Episode 2400, Avg Loss: 31.0951, Reward: -415.2642109375, exploration: 0.2458
Episode 2500, Avg Loss: 28.0179, Reward: -316.55160156249997, exploration: 0.2362
Episode 2600, Avg Loss: 31.3952, Reward: -767.6186640625001, exploration: 0.2271
Episode 2700, Avg Loss: 30.4505, Reward: -557.6429609375, exploration: 0.2185
Episode 2800, Avg Loss: 30.8308, Reward: -334.6625703125, exploration: 0.2103
Episode 2900, Avg Loss: 31.2704, Reward: -459.839546875, exploration: 0.2025
Episode 3000, Avg Loss: 31.3024, Reward: -344.76356250000003, exploration: 0.1950
Episode 3100, Avg Loss: 32.0947, Reward: -349.65250000000003, exploration: 0.1880
Episode 3200, Avg Loss: 32.5835, Reward: -354.76653125, exploration: 0.1812
Episode 3300, Avg Loss: 32.8994, Reward: -359.74640625, exploration: 0.1748
Episode 3400, Avg Loss: 32.6882, Reward: -364.64909375, exploration: 0.1687
Episode 3500, Avg Loss: 33.2826, Reward: -503.33364062500004, exploration: 0.1630
Episode 3600, Avg Loss: 31.5317, Reward: -373.074703125, exploration: 0.1574
Episode 3700, Avg Loss: 33.3471, Reward: -377.38435937500003, exploration: 0.1522
Episode 3800, Avg Loss: 33.9787, Reward: -381.27774999999997, exploration: 0.1472
Episode 3900, Avg Loss: 35.4781, Reward: -242.219359375, exploration: 0.1425
Episode 4000, Avg Loss: 34.1666, Reward: -677.7188125, exploration: 0.1380
Episode 4100, Avg Loss: 34.7540, Reward: -539.01834375, exploration: 0.1337
Episode 4200, Avg Loss: 33.9557, Reward: -395.8901875, exploration: 0.1296
Episode 4300, Avg Loss: 34.3159, Reward: -399.067734375, exploration: 0.1257
Episode 4400, Avg Loss: 37.5533, Reward: -402.12415625, exploration: 0.1220
Episode 4500, Avg Loss: 34.2446, Reward: -405.510296875, exploration: 0.1185
