Episode 0, Avg Loss: 1000.0000, Reward: -29.872272102355954, exploration: 0.7000
Episode 100, Avg Loss: 0.7764, Reward: -70.03808203125, exploration: 0.6683
Episode 200, Avg Loss: 1.3386, Reward: -131.69850390625, exploration: 0.6381
Episode 300, Avg Loss: 4.4099, Reward: -165.04191992187498, exploration: 0.6095
Episode 400, Avg Loss: 12.9025, Reward: -203.55321484375003, exploration: 0.5822
Episode 500, Avg Loss: 9.1697, Reward: -193.68196484375, exploration: 0.5562
Episode 600, Avg Loss: 13.5672, Reward: -189.98473828125, exploration: 0.5315
Episode 700, Avg Loss: 14.3404, Reward: -316.11654296875, exploration: 0.5080
Episode 800, Avg Loss: 13.4561, Reward: -351.17407421875, exploration: 0.4857
Episode 900, Avg Loss: 12.2709, Reward: -242.979109375, exploration: 0.4645
Episode 1000, Avg Loss: 15.7264, Reward: -367.19259765625003, exploration: 0.4442
Episode 1100, Avg Loss: 15.3954, Reward: -451.66409375, exploration: 0.4250
Episode 1200, Avg Loss: 13.9001, Reward: -355.846765625, exploration: 0.4067
Episode 1300, Avg Loss: 20.8026, Reward: -307.20723437500004, exploration: 0.3893
Episode 1400, Avg Loss: 18.0187, Reward: -321.5078828125, exploration: 0.3728
Episode 1500, Avg Loss: 18.5244, Reward: -335.576875, exploration: 0.3570
Episode 1600, Avg Loss: 13.8145, Reward: -349.668984375, exploration: 0.3421
Episode 1700, Avg Loss: 14.3931, Reward: -275.610484375, exploration: 0.3278
Episode 1800, Avg Loss: 14.5737, Reward: -468.091703125, exploration: 0.3143
Episode 1900, Avg Loss: 19.0840, Reward: -388.05737500000004, exploration: 0.3014
Episode 2000, Avg Loss: 14.4810, Reward: -199.84951562499998, exploration: 0.2891
Episode 2100, Avg Loss: 17.3085, Reward: -410.88696875, exploration: 0.2775
Episode 2200, Avg Loss: 11.1243, Reward: -314.9664140625, exploration: 0.2664
Episode 2300, Avg Loss: 28.6225, Reward: -322.6932890625, exploration: 0.2558
Episode 2400, Avg Loss: 17.6041, Reward: -330.7308359375, exploration: 0.2458
Episode 2500, Avg Loss: 19.6025, Reward: -219.1138359375, exploration: 0.2362
Episode 2600, Avg Loss: 22.1004, Reward: -591.613625, exploration: 0.2271
Episode 2700, Avg Loss: 20.4812, Reward: -606.9801874999999, exploration: 0.2185
Episode 2800, Avg Loss: 24.5418, Reward: -230.152984375, exploration: 0.2103
Episode 2900, Avg Loss: 16.4513, Reward: -366.398640625, exploration: 0.2025
Episode 3000, Avg Loss: 12.3798, Reward: -236.077171875, exploration: 0.1950
Episode 3100, Avg Loss: 11.9634, Reward: -100.0, exploration: 0.1880
Episode 3200, Avg Loss: 10.8804, Reward: -241.814890625, exploration: 0.1812
Episode 3300, Avg Loss: 19.9985, Reward: -244.667203125, exploration: 0.1748
Episode 3400, Avg Loss: 15.7790, Reward: -247.386125, exploration: 0.1687
Episode 3500, Avg Loss: 13.5374, Reward: -399.824546875, exploration: 0.1630
Episode 3600, Avg Loss: 10.7838, Reward: -252.16475, exploration: 0.1574
Episode 3700, Avg Loss: 31.6416, Reward: -254.550453125, exploration: 0.1522
Episode 3800, Avg Loss: 16.0248, Reward: -256.822890625, exploration: 0.1472
Episode 3900, Avg Loss: 19.4105, Reward: -100.0, exploration: 0.1425
Episode 4000, Avg Loss: 19.1443, Reward: -583.7332187500001, exploration: 0.1380
Episode 4100, Avg Loss: 17.9207, Reward: -590.269359375, exploration: 0.1337
Episode 4200, Avg Loss: 33.7654, Reward: -265.211546875, exploration: 0.1296
Episode 4300, Avg Loss: 21.1380, Reward: -266.9593125, exploration: 0.1257
Episode 4400, Avg Loss: 16.6254, Reward: -268.652484375, exploration: 0.1220
Episode 4500, Avg Loss: 22.8212, Reward: -270.65560937500004, exploration: 0.1185
Episode 4600, Avg Loss: 17.2561, Reward: -100.0, exploration: 0.1152
Episode 4700, Avg Loss: 14.1766, Reward: -274.749734375, exploration: 0.1120
Episode 4800, Avg Loss: 16.8276, Reward: -276.420984375, exploration: 0.1090
Episode 4900, Avg Loss: 19.2411, Reward: -278.073625, exploration: 0.1061
Episode 5000, Avg Loss: 12.8044, Reward: -100.0, exploration: 0.1034
Episode 5100, Avg Loss: 15.7621, Reward: -464.153109375, exploration: 0.1008
Episode 5200, Avg Loss: 18.3204, Reward: -284.31798437500004, exploration: 0.0983
Episode 5300, Avg Loss: 18.3543, Reward: -286.4519375, exploration: 0.0959
Episode 5400, Avg Loss: 17.5395, Reward: -478.901625, exploration: 0.0937
Episode 5500, Avg Loss: 19.2057, Reward: -291.730296875, exploration: 0.0916
Episode 5600, Avg Loss: 13.9951, Reward: -100.0, exploration: 0.0895
Episode 5700, Avg Loss: 14.2839, Reward: -492.1916875, exploration: 0.0876
Episode 5800, Avg Loss: 14.2018, Reward: -298.31937500000004, exploration: 0.0858
Episode 5900, Avg Loss: 14.6039, Reward: -300.7649375, exploration: 0.0840
Episode 6000, Avg Loss: 13.5620, Reward: -302.58668750000004, exploration: 0.0824
Episode 6100, Avg Loss: 15.0048, Reward: -508.82784374999994, exploration: 0.0808
Episode 6200, Avg Loss: 11.8824, Reward: -306.3985625, exploration: 0.0793
Episode 6300, Avg Loss: 13.3398, Reward: -308.10603125, exploration: 0.0779
Episode 6400, Avg Loss: 12.2525, Reward: -100.0, exploration: 0.0765
Episode 6500, Avg Loss: 15.2531, Reward: -100.0, exploration: 0.0752
Episode 6600, Avg Loss: 10.5366, Reward: -100.0, exploration: 0.0740
Episode 6700, Avg Loss: 13.4298, Reward: -100.0, exploration: 0.0728
Episode 6800, Avg Loss: 16.9304, Reward: -100.0, exploration: 0.0717
Episode 6900, Avg Loss: 12.3997, Reward: -319.05934375000004, exploration: 0.0706
Episode 7000, Avg Loss: 15.5887, Reward: -100.0, exploration: 0.0696
Episode 7100, Avg Loss: 15.5147, Reward: -768.4722187500001, exploration: 0.0687
Episode 7200, Avg Loss: 16.6610, Reward: -100.0, exploration: 0.0678
Episode 7300, Avg Loss: 13.6295, Reward: -100.0, exploration: 0.0669
Episode 7400, Avg Loss: 15.1192, Reward: -327.766921875, exploration: 0.0661
Episode 7500, Avg Loss: 13.6324, Reward: -558.856625, exploration: 0.0653
Episode 7600, Avg Loss: 12.6076, Reward: -331.08690624999997, exploration: 0.0645
Episode 7700, Avg Loss: 14.1459, Reward: -100.0, exploration: 0.0638
Episode 7800, Avg Loss: 19.0867, Reward: -100.0, exploration: 0.0632
Episode 7900, Avg Loss: 11.0436, Reward: -100.0, exploration: 0.0625
Episode 8000, Avg Loss: 10.7206, Reward: -100.0, exploration: 0.0619
Episode 8100, Avg Loss: 9.4367, Reward: -338.69181249999997, exploration: 0.0613
Episode 8200, Avg Loss: 12.0364, Reward: -100.0, exploration: 0.0608
Episode 8300, Avg Loss: 13.8232, Reward: -100.0, exploration: 0.0602
Episode 8400, Avg Loss: 18.4310, Reward: -100.0, exploration: 0.0597
Episode 8500, Avg Loss: 15.8559, Reward: -344.58804687500003, exploration: 0.0593
Episode 8600, Avg Loss: 15.0357, Reward: -346.17953125, exploration: 0.0588
Episode 8700, Avg Loss: 15.4385, Reward: -100.0, exploration: 0.0584
Episode 8800, Avg Loss: 13.2153, Reward: -598.2318124999999, exploration: 0.0580
Episode 8900, Avg Loss: 12.4513, Reward: -100.0, exploration: 0.0576
Episode 9000, Avg Loss: 11.7083, Reward: -100.0, exploration: 0.0572
Episode 9100, Avg Loss: 13.7799, Reward: -353.93384375, exploration: 0.0569
Episode 9200, Avg Loss: 11.6442, Reward: -610.6951875, exploration: 0.0565
Episode 9300, Avg Loss: 10.7150, Reward: -100.0, exploration: 0.0562
Episode 9400, Avg Loss: 16.3533, Reward: -100.0, exploration: 0.0559
Episode 9500, Avg Loss: 11.8606, Reward: -100.0, exploration: 0.0556
Episode 9600, Avg Loss: 13.2150, Reward: -361.45221875, exploration: 0.0553
Episode 9700, Avg Loss: 13.7652, Reward: -625.99840625, exploration: 0.0551
Episode 9800, Avg Loss: 10.7046, Reward: -100.0, exploration: 0.0548
Episode 9900, Avg Loss: 11.4009, Reward: -100.0, exploration: 0.0546
Episode 10000, Avg Loss: 11.0012, Reward: -367.77525, exploration: 0.0544
Episode 10100, Avg Loss: 11.2964, Reward: -100.0, exploration: 0.0542
Episode 10200, Avg Loss: 12.2026, Reward: -100.0, exploration: 0.0540
Episode 10300, Avg Loss: 11.0981, Reward: -100.0, exploration: 0.0538
Episode 10400, Avg Loss: 12.2768, Reward: -100.0, exploration: 0.0536
Episode 10500, Avg Loss: 11.7071, Reward: -100.0, exploration: 0.0534
Episode 10600, Avg Loss: 10.1896, Reward: -100.0, exploration: 0.0532
Episode 10700, Avg Loss: 9.7063, Reward: -100.0, exploration: 0.0531
Episode 10800, Avg Loss: 13.7968, Reward: -100.0, exploration: 0.0529
Episode 10900, Avg Loss: 10.0273, Reward: -100.0, exploration: 0.0528
Episode 11000, Avg Loss: 9.7352, Reward: -383.5281875, exploration: 0.0527
Episode 11100, Avg Loss: 8.6925, Reward: -100.0, exploration: 0.0525
Episode 11200, Avg Loss: 12.6563, Reward: -386.96903125, exploration: 0.0524
Episode 11300, Avg Loss: 12.3254, Reward: -100.0, exploration: 0.0523
Episode 11400, Avg Loss: 13.0990, Reward: -390.6894375, exploration: 0.0522
Episode 11500, Avg Loss: 12.3431, Reward: -100.0, exploration: 0.0521
Episode 11600, Avg Loss: 12.8080, Reward: -100.0, exploration: 0.0520
Episode 11700, Avg Loss: 15.4570, Reward: -395.762625, exploration: 0.0519
