Episode 0, Avg Loss: 1000.0000, Reward: -19895.770469665527, exploration: 0.7000
Episode 100, Avg Loss: 1628.0253, Reward: -67614.1240234375, exploration: 0.6663
Episode 200, Avg Loss: 6441.7839, Reward: -130799.228515625, exploration: 0.6343
Episode 300, Avg Loss: 11671.4671, Reward: -162493.705078125, exploration: 0.6039
Episode 400, Avg Loss: 19922.6343, Reward: -202303.3359375, exploration: 0.5749
Episode 500, Avg Loss: 28748.5742, Reward: -240016.2265625, exploration: 0.5474
Episode 600, Avg Loss: 34486.3977, Reward: -189285.46875, exploration: 0.5212
Episode 700, Avg Loss: 46646.4756, Reward: -244905.140625, exploration: 0.4962
Episode 800, Avg Loss: 45830.3059, Reward: -353729.06640625, exploration: 0.4725
Episode 900, Avg Loss: 51703.8727, Reward: -341532.80859375, exploration: 0.4500
Episode 1000, Avg Loss: 60792.5652, Reward: -315888.19921875, exploration: 0.4285
Episode 1100, Avg Loss: 62156.0750, Reward: -396618.5546875, exploration: 0.4081
Episode 1200, Avg Loss: 69867.1707, Reward: -357959.90625, exploration: 0.3887
Episode 1300, Avg Loss: 83169.6215, Reward: -379056.8125, exploration: 0.3702
Episode 1400, Avg Loss: 83805.5027, Reward: -324828.296875, exploration: 0.3526
Episode 1500, Avg Loss: 87840.8859, Reward: -180150.6484375, exploration: 0.3359
Episode 1600, Avg Loss: 81641.2563, Reward: -356105.1640625, exploration: 0.3200
Episode 1700, Avg Loss: 113157.7836, Reward: -370514.03125, exploration: 0.3049
Episode 1800, Avg Loss: 98368.6219, Reward: -100000.0, exploration: 0.2905
Episode 1900, Avg Loss: 97765.7711, Reward: -199724.0390625, exploration: 0.2769
Episode 2000, Avg Loss: 81557.3930, Reward: -412561.25, exploration: 0.2638
Episode 2100, Avg Loss: 98106.6004, Reward: -316597.7578125, exploration: 0.2515
Episode 2200, Avg Loss: 101490.6187, Reward: -212326.2265625, exploration: 0.2397
Episode 2300, Avg Loss: 114747.9609, Reward: -331641.9296875, exploration: 0.2285
Episode 2400, Avg Loss: 110620.3734, Reward: -340932.0625, exploration: 0.2178
Episode 2500, Avg Loss: 117068.3125, Reward: -224152.4375, exploration: 0.2077
Episode 2600, Avg Loss: 126749.8281, Reward: -356230.34375, exploration: 0.1980
Episode 2700, Avg Loss: 120040.6828, Reward: -495930.90625, exploration: 0.1889
Episode 2800, Avg Loss: 122472.3320, Reward: -371412.28125, exploration: 0.1802
Episode 2900, Avg Loss: 133715.4406, Reward: -379255.625, exploration: 0.1719
Episode 3000, Avg Loss: 133321.5086, Reward: -387393.890625, exploration: 0.1640
Episode 3100, Avg Loss: 115553.1938, Reward: -688656.03125, exploration: 0.1565
Episode 3200, Avg Loss: 125843.1883, Reward: -551355.328125, exploration: 0.1493
Episode 3300, Avg Loss: 132427.7695, Reward: -406732.109375, exploration: 0.1425
Episode 3400, Avg Loss: 124128.0805, Reward: -413802.8125, exploration: 0.1361
Episode 3500, Avg Loss: 116110.4109, Reward: -421753.640625, exploration: 0.1299
Episode 3600, Avg Loss: 156800.6477, Reward: -428813.796875, exploration: 0.1241
Episode 3700, Avg Loss: 125182.7812, Reward: -603843.5625, exploration: 0.1185
Episode 3800, Avg Loss: 132617.3680, Reward: -612137.328125, exploration: 0.1132
Episode 3900, Avg Loss: 140929.1273, Reward: -447459.171875, exploration: 0.1082
Episode 4000, Avg Loss: 135406.1437, Reward: -629272.515625, exploration: 0.1034
Episode 4100, Avg Loss: 131147.5727, Reward: -459025.859375, exploration: 0.0988
Episode 4200, Avg Loss: 131726.0766, Reward: -827951.1875, exploration: 0.0945
Episode 4300, Avg Loss: 170481.0453, Reward: -469436.40625, exploration: 0.0904
Episode 4400, Avg Loss: 166658.5586, Reward: -661493.625, exploration: 0.0865
Episode 4500, Avg Loss: 176202.4391, Reward: -480130.515625, exploration: 0.0827
Episode 4600, Avg Loss: 186671.1320, Reward: -485156.40625, exploration: 0.0792
Episode 4700, Avg Loss: 209448.0672, Reward: -881444.828125, exploration: 0.0758
Episode 4800, Avg Loss: 166555.1227, Reward: -100000.0, exploration: 0.0726
Episode 4900, Avg Loss: 162213.9172, Reward: -299744.4375, exploration: 0.0695
Episode 5000, Avg Loss: 202331.7078, Reward: -505415.265625, exploration: 0.0666
Episode 5100, Avg Loss: 184301.2352, Reward: -305559.234375, exploration: 0.0639
Episode 5200, Avg Loss: 134686.7672, Reward: -308340.375, exploration: 0.0612
Episode 5300, Avg Loss: 179466.1367, Reward: -521465.484375, exploration: 0.0587
Episode 5400, Avg Loss: 218539.2281, Reward: -526203.359375, exploration: 0.0564
Episode 5500, Avg Loss: 232359.8055, Reward: -530994.1875, exploration: 0.0541
Episode 5600, Avg Loss: 230174.6359, Reward: -753465.8125, exploration: 0.0520
Episode 5700, Avg Loss: 254754.2242, Reward: -319918.59375, exploration: 0.0499
Episode 5800, Avg Loss: 220958.5891, Reward: -766743.734375, exploration: 0.0480
Episode 5900, Avg Loss: 265718.7062, Reward: -323843.671875, exploration: 0.0461
Episode 6000, Avg Loss: 228271.0617, Reward: -326071.953125, exploration: 0.0444
Episode 6100, Avg Loss: 235750.4969, Reward: -555876.65625, exploration: 0.0427
Episode 6200, Avg Loss: 224529.5156, Reward: -330607.765625, exploration: 0.0411
Episode 6300, Avg Loss: 165167.7070, Reward: -100000.0, exploration: 0.0396
Episode 6400, Avg Loss: 270175.2938, Reward: -335200.5625, exploration: 0.0381
Episode 6500, Avg Loss: 246068.5281, Reward: -575217.1875, exploration: 0.0368
Episode 6600, Avg Loss: 246844.3969, Reward: -339706.4375, exploration: 0.0354
Episode 6700, Avg Loss: 191755.8641, Reward: -583983.171875, exploration: 0.0342
Episode 6800, Avg Loss: 238771.5969, Reward: -100000.0, exploration: 0.0330
Episode 6900, Avg Loss: 205739.5367, Reward: -346244.859375, exploration: 0.0319
Episode 7000, Avg Loss: 213578.4266, Reward: -347869.34375, exploration: 0.0308
Episode 7100, Avg Loss: 231420.7391, Reward: -349263.796875, exploration: 0.0298
Episode 7200, Avg Loss: 212247.0250, Reward: -350842.015625, exploration: 0.0289
Episode 7300, Avg Loss: 225223.7789, Reward: -353173.1875, exploration: 0.0279
Episode 7400, Avg Loss: 202440.1469, Reward: -356022.40625, exploration: 0.0271
Episode 7500, Avg Loss: 228456.0500, Reward: -358661.1875, exploration: 0.0262
Episode 7600, Avg Loss: 208188.4844, Reward: -360815.03125, exploration: 0.0254
Episode 7700, Avg Loss: 184739.1766, Reward: -362852.125, exploration: 0.0247
Episode 7800, Avg Loss: 216486.4672, Reward: -365057.78125, exploration: 0.0240
Episode 7900, Avg Loss: 202061.6203, Reward: -367704.3125, exploration: 0.0233
Episode 8000, Avg Loss: 221724.5063, Reward: -638799.0, exploration: 0.0226
Episode 8100, Avg Loss: 194909.2969, Reward: -371741.15625, exploration: 0.0220
Episode 8200, Avg Loss: 168939.7320, Reward: -100000.0, exploration: 0.0214
Episode 8300, Avg Loss: 174721.9906, Reward: -374850.125, exploration: 0.0209
Episode 8400, Avg Loss: 261413.8383, Reward: -100000.0, exploration: 0.0203
Episode 8500, Avg Loss: 205381.2984, Reward: -378709.5, exploration: 0.0198
Episode 8600, Avg Loss: 236136.0781, Reward: -661353.71875, exploration: 0.0194
Episode 8700, Avg Loss: 288389.9734, Reward: -382646.375, exploration: 0.0189
Episode 8800, Avg Loss: 215891.4953, Reward: -670640.3125, exploration: 0.0185
Episode 8900, Avg Loss: 268411.1188, Reward: -100000.0, exploration: 0.0181
Episode 9000, Avg Loss: 238545.0109, Reward: -388980.78125, exploration: 0.0177
Episode 9100, Avg Loss: 323173.7016, Reward: -391265.03125, exploration: 0.0173
Episode 9200, Avg Loss: 232503.9203, Reward: -393360.15625, exploration: 0.0169
Episode 9300, Avg Loss: 319955.8688, Reward: -395393.5625, exploration: 0.0166
Episode 9400, Avg Loss: 265476.9938, Reward: -694629.1875, exploration: 0.0163
Episode 9500, Avg Loss: 283587.2203, Reward: -399382.15625, exploration: 0.0160
Episode 9600, Avg Loss: 201289.9023, Reward: -100000.0, exploration: 0.0157
Episode 9700, Avg Loss: 241836.7328, Reward: -100000.0, exploration: 0.0154
Episode 9800, Avg Loss: 237998.9562, Reward: -403224.125, exploration: 0.0151
Episode 9900, Avg Loss: 228823.6625, Reward: -100000.0, exploration: 0.0149
Episode 10000, Avg Loss: 194026.2297, Reward: -406845.65625, exploration: 0.0146
Episode 10100, Avg Loss: 164504.9937, Reward: -100000.0, exploration: 0.0144
Episode 10200, Avg Loss: 170294.5094, Reward: -410484.40625, exploration: 0.0142
Episode 10300, Avg Loss: 184992.7188, Reward: -100000.0, exploration: 0.0140
Episode 10400, Avg Loss: 183634.7578, Reward: -100000.0, exploration: 0.0138
Episode 10500, Avg Loss: 158538.2094, Reward: -415244.0625, exploration: 0.0136
Episode 10600, Avg Loss: 148552.6039, Reward: -417095.375, exploration: 0.0134
Episode 10700, Avg Loss: 165574.5602, Reward: -100000.0, exploration: 0.0133
Episode 10800, Avg Loss: 151494.0422, Reward: -420040.25, exploration: 0.0131
Episode 10900, Avg Loss: 165441.2820, Reward: -742119.0625, exploration: 0.0130
Episode 11000, Avg Loss: 144082.0828, Reward: -100000.0, exploration: 0.0128
Episode 11100, Avg Loss: 150365.3633, Reward: -100000.0, exploration: 0.0127
Episode 11200, Avg Loss: 143925.4445, Reward: -425946.59375, exploration: 0.0126
Episode 11300, Avg Loss: 146469.5883, Reward: -756292.875, exploration: 0.0124
Episode 11400, Avg Loss: 180739.4922, Reward: -100000.0, exploration: 0.0123
Episode 11500, Avg Loss: 147461.7297, Reward: -100000.0, exploration: 0.0122
Episode 11600, Avg Loss: 133132.1242, Reward: -433874.1875, exploration: 0.0121
Episode 11700, Avg Loss: 136952.5031, Reward: -435355.28125, exploration: 0.0120
Episode 11800, Avg Loss: 150332.4281, Reward: -100000.0, exploration: 0.0119
Episode 11900, Avg Loss: 128419.3129, Reward: -437806.8125, exploration: 0.0118
Episode 12000, Avg Loss: 140244.2523, Reward: -100000.0, exploration: 0.0117
Episode 12100, Avg Loss: 130961.2836, Reward: -100000.0, exploration: 0.0116
Episode 12200, Avg Loss: 127148.4609, Reward: -100000.0, exploration: 0.0115
Episode 12300, Avg Loss: 122408.2305, Reward: -444665.71875, exploration: 0.0115
Episode 12400, Avg Loss: 125523.5258, Reward: -100000.0, exploration: 0.0114
Episode 12500, Avg Loss: 134118.6953, Reward: -100000.0, exploration: 0.0113
Episode 12600, Avg Loss: 123413.0707, Reward: -450279.3125, exploration: 0.0113
Episode 12700, Avg Loss: 118007.1266, Reward: -100000.0, exploration: 0.0112
Episode 12800, Avg Loss: 113358.0813, Reward: -100000.0, exploration: 0.0111
Episode 12900, Avg Loss: 132276.9320, Reward: -454208.96875, exploration: 0.0111
Episode 13000, Avg Loss: 117489.6562, Reward: -100000.0, exploration: 0.0110
Episode 13100, Avg Loss: 116696.3273, Reward: -100000.0, exploration: 0.0110
Episode 13200, Avg Loss: 133825.9445, Reward: -100000.0, exploration: 0.0109
Episode 13300, Avg Loss: 115937.2563, Reward: -459583.1875, exploration: 0.0109
Episode 13400, Avg Loss: 127016.3195, Reward: -460650.8125, exploration: 0.0108
Episode 13500, Avg Loss: 120709.7602, Reward: -461719.21875, exploration: 0.0108
Episode 13600, Avg Loss: 117836.3227, Reward: -100000.0, exploration: 0.0108
Episode 13700, Avg Loss: 138345.4719, Reward: -100000.0, exploration: 0.0107
Episode 13800, Avg Loss: 144864.5570, Reward: -100000.0, exploration: 0.0107
Episode 13900, Avg Loss: 107960.5699, Reward: -100000.0, exploration: 0.0107
Episode 14000, Avg Loss: 130452.5953, Reward: -467732.84375, exploration: 0.0106
Episode 14100, Avg Loss: 99535.3375, Reward: -469056.21875, exploration: 0.0106
Episode 14200, Avg Loss: 100559.8965, Reward: -100000.0, exploration: 0.0106
Episode 14300, Avg Loss: 118307.4539, Reward: -100000.0, exploration: 0.0105
Episode 14400, Avg Loss: 108267.0641, Reward: -473430.75, exploration: 0.0105
Episode 14500, Avg Loss: 113332.4563, Reward: -475379.59375, exploration: 0.0105
Episode 14600, Avg Loss: 120012.1016, Reward: -100000.0, exploration: 0.0105
Episode 14700, Avg Loss: 97802.2023, Reward: -478112.0, exploration: 0.0104
Episode 14800, Avg Loss: 98959.4187, Reward: -479432.53125, exploration: 0.0104
Episode 14900, Avg Loss: 104340.8305, Reward: -100000.0, exploration: 0.0104
Episode 15000, Avg Loss: 120672.9531, Reward: -100000.0, exploration: 0.0104
Episode 15100, Avg Loss: 134535.2344, Reward: -483758.375, exploration: 0.0104
Episode 15200, Avg Loss: 110727.4117, Reward: -100000.0, exploration: 0.0103
Episode 15300, Avg Loss: 113800.7238, Reward: -100000.0, exploration: 0.0103
Episode 15400, Avg Loss: 109831.7180, Reward: -100000.0, exploration: 0.0103
Episode 15500, Avg Loss: 102412.4906, Reward: -490026.53125, exploration: 0.0103
