Episode 0, Avg Reward: 2.40, Total Reward: 21.63, Final Total Profit: -362.98, Total Distance: 91.30
Episode 100, Avg Reward: -4866.77, Total Reward: -43800.90, Final Total Profit: -62998.66, Total Distance: 83.20
Episode 200, Avg Reward: -8421.17, Total Reward: -75790.51, Final Total Profit: -126667.87, Total Distance: 72.85
Episode 300, Avg Reward: -12513.31, Total Reward: -112619.80, Final Total Profit: -188012.23, Total Distance: 55.92
Episode 400, Avg Reward: -13809.64, Total Reward: -124286.78, Final Total Profit: -248770.16, Total Distance: 46.23
Episode 500, Avg Reward: -20482.81, Total Reward: -184345.29, Final Total Profit: -307571.47, Total Distance: 62.99
Episode 600, Avg Reward: -12166.08, Total Reward: -109494.72, Final Total Profit: -365185.03, Total Distance: 29.82
Episode 700, Avg Reward: -23367.00, Total Reward: -210303.04, Final Total Profit: -420849.97, Total Distance: 36.27
Episode 800, Avg Reward: -21179.95, Total Reward: -190619.52, Final Total Profit: -476877.50, Total Distance: 52.87
Episode 900, Avg Reward: -29376.12, Total Reward: -264385.11, Final Total Profit: -528855.38, Total Distance: 45.69
Episode 1000, Avg Reward: -25668.71, Total Reward: -231018.35, Final Total Profit: -577715.19, Total Distance: 37.84
Episode 1100, Avg Reward: -27918.42, Total Reward: -251265.76, Final Total Profit: -628411.12, Total Distance: 46.83
Episode 1200, Avg Reward: -30084.79, Total Reward: -270763.12, Final Total Profit: -677164.88, Total Distance: 50.02
Episode 1300, Avg Reward: -24109.48, Total Reward: -216985.30, Final Total Profit: -723326.94, Total Distance: 33.78
Episode 1400, Avg Reward: -34102.64, Total Reward: -306923.77, Final Total Profit: -767461.88, Total Distance: 41.12
Episode 1500, Avg Reward: -27080.20, Total Reward: -243721.80, Final Total Profit: -812476.81, Total Distance: 23.36
Episode 1600, Avg Reward: -47616.61, Total Reward: -428549.52, Final Total Profit: -857250.88, Total Distance: 45.62
Episode 1700, Avg Reward: -29921.68, Total Reward: -269295.09, Final Total Profit: -897769.94, Total Distance: 24.30
Episode 1800, Avg Reward: -20823.12, Total Reward: -187408.12, Final Total Profit: -936892.06, Total Distance: 15.20
Episode 1900, Avg Reward: -32603.87, Total Reward: -293434.85, Final Total Profit: -978186.94, Total Distance: 23.36
Episode 2000, Avg Reward: -33891.40, Total Reward: -305022.56, Final Total Profit: -1017063.69, Total Distance: 41.72
Episode 2100, Avg Reward: -46757.49, Total Reward: -420817.40, Final Total Profit: -1052267.88, Total Distance: 35.60
Episode 2200, Avg Reward: -24210.41, Total Reward: -217893.71, Final Total Profit: -1089320.00, Total Distance: 15.20
Episode 2300, Avg Reward: -25001.41, Total Reward: -225012.73, Final Total Profit: -1125082.50, Total Distance: 25.22
Episode 2400, Avg Reward: -38684.83, Total Reward: -348163.51, Final Total Profit: -1160523.00, Total Distance: 30.47
Episode 2500, Avg Reward: -39802.04, Total Reward: -358218.38, Final Total Profit: -1194123.75, Total Distance: 35.81
Episode 2600, Avg Reward: -41051.83, Total Reward: -369466.51, Final Total Profit: -1231585.25, Total Distance: 28.70
Episode 2700, Avg Reward: -28089.48, Total Reward: -252805.35, Final Total Profit: -1264068.75, Total Distance: 22.18
