Episode 0, Avg Reward: -8.27, Total Reward: -74.45, Final Total Profit: -272.79, Total Distance: 82.28
Episode 100, Avg Reward: -4201.22, Total Reward: -37810.97, Final Total Profit: -62886.74, Total Distance: 77.78
Episode 200, Avg Reward: -8572.84, Total Reward: -77155.52, Final Total Profit: -128406.55, Total Distance: 66.09
Episode 300, Avg Reward: -12723.53, Total Reward: -114511.75, Final Total Profit: -190709.38, Total Distance: 63.99
Episode 400, Avg Reward: -16812.88, Total Reward: -151315.88, Final Total Profit: -252022.34, Total Distance: 59.88
Episode 500, Avg Reward: -24283.94, Total Reward: -218555.46, Final Total Profit: -312264.38, Total Distance: 65.88
Episode 600, Avg Reward: -16554.74, Total Reward: -148992.63, Final Total Profit: -371375.06, Total Distance: 30.10
Episode 700, Avg Reward: -23758.26, Total Reward: -213824.34, Final Total Profit: -427104.81, Total Distance: 44.30
Episode 800, Avg Reward: -16162.21, Total Reward: -145459.86, Final Total Profit: -483091.44, Total Distance: 51.64
Episode 900, Avg Reward: -29806.31, Total Reward: -268256.81, Final Total Profit: -535862.81, Total Distance: 50.96
Episode 1000, Avg Reward: -19679.49, Total Reward: -177115.42, Final Total Profit: -588862.56, Total Distance: 65.55
Episode 1100, Avg Reward: -35673.91, Total Reward: -321065.18, Final Total Profit: -641750.62, Total Distance: 73.32
Episode 1200, Avg Reward: -15452.51, Total Reward: -139072.55, Final Total Profit: -691890.00, Total Distance: 21.95
Episode 1300, Avg Reward: -32875.95, Total Reward: -295883.52, Final Total Profit: -738757.31, Total Distance: 38.60
Episode 1400, Avg Reward: -34705.61, Total Reward: -312350.48, Final Total Profit: -779756.88, Total Distance: 36.05
Episode 1500, Avg Reward: -27529.96, Total Reward: -247769.61, Final Total Profit: -823980.62, Total Distance: 21.80
Episode 1600, Avg Reward: -48354.10, Total Reward: -435186.88, Final Total Profit: -869708.75, Total Distance: 50.87
Episode 1700, Avg Reward: -30450.32, Total Reward: -274052.84, Final Total Profit: -911585.12, Total Distance: 42.00
Episode 1800, Avg Reward: -21216.84, Total Reward: -190951.53, Final Total Profit: -951032.50, Total Distance: 4.98
Episode 1900, Avg Reward: -33131.71, Total Reward: -298185.38, Final Total Profit: -991994.81, Total Distance: 16.83
Episode 2000, Avg Reward: -34276.46, Total Reward: -308488.18, Final Total Profit: -1026622.12, Total Distance: 34.55
Episode 2100, Avg Reward: -59324.03, Total Reward: -533916.24, Final Total Profit: -1067250.62, Total Distance: 35.40
Episode 2200, Avg Reward: -24755.58, Total Reward: -222800.23, Final Total Profit: -1110443.62, Total Distance: 13.40
Episode 2300, Avg Reward: -25624.83, Total Reward: -230623.48, Final Total Profit: -1149708.38, Total Distance: 21.24
Episode 2400, Avg Reward: -26426.47, Total Reward: -237838.22, Final Total Profit: -1185594.25, Total Distance: 23.00
Episode 2500, Avg Reward: -40843.11, Total Reward: -367588.02, Final Total Profit: -1223161.75, Total Distance: 32.96
Episode 2600, Avg Reward: -28062.60, Total Reward: -252563.44, Final Total Profit: -1259365.00, Total Distance: 14.87
Episode 2700, Avg Reward: -43044.33, Total Reward: -387398.97, Final Total Profit: -1289717.50, Total Distance: 34.89
Episode 2800, Avg Reward: -29467.06, Total Reward: -265203.56, Final Total Profit: -1322668.00, Total Distance: 21.94
Episode 2900, Avg Reward: -15172.56, Total Reward: -136553.03, Final Total Profit: -1357480.25, Total Distance: 4.98
Episode 3000, Avg Reward: -46305.48, Total Reward: -416749.31, Final Total Profit: -1387190.50, Total Distance: 27.06
Episode 3100, Avg Reward: -62747.98, Total Reward: -564731.78, Final Total Profit: -1410696.50, Total Distance: 36.20
Episode 3200, Avg Reward: -48172.38, Total Reward: -433551.45, Final Total Profit: -1443578.75, Total Distance: 36.83
Episode 3300, Avg Reward: -49212.23, Total Reward: -442910.09, Final Total Profit: -1474200.00, Total Distance: 14.81
Episode 3400, Avg Reward: -50092.37, Total Reward: -450831.31, Final Total Profit: -1500933.75, Total Distance: 21.95
