Episode 0, Avg Reward: -2210.49, Total Reward: -19894.45, Average Profit: 8.26, Average Distance: 9.14
Episode 100, Avg Reward: -2213.51, Total Reward: -19921.62, Average Profit: -5.79, Average Distance: 9.58
Episode 200, Avg Reward: -4423.43, Total Reward: -39810.87, Average Profit: 39.02, Average Distance: 6.39
Episode 300, Avg Reward: -4429.57, Total Reward: -39866.16, Average Profit: 6.08, Average Distance: 6.16
Episode 400, Avg Reward: -3325.72, Total Reward: -29931.46, Average Profit: 6.74, Average Distance: 9.80
Episode 500, Avg Reward: -3316.49, Total Reward: -29848.42, Average Profit: 13.49, Average Distance: 7.55
Episode 600, Avg Reward: -2211.82, Total Reward: -19906.39, Average Profit: 2.40, Average Distance: 8.55
Episode 700, Avg Reward: 18.84, Total Reward: 169.58, Average Profit: 18.84, Average Distance: 7.49
Episode 800, Avg Reward: -3312.35, Total Reward: -29811.16, Average Profit: 18.21, Average Distance: 7.03
Episode 900, Avg Reward: -4431.95, Total Reward: -39887.55, Average Profit: 12.11, Average Distance: 4.40
Episode 1000, Avg Reward: -3333.25, Total Reward: -29999.21, Average Profit: -7.84, Average Distance: 8.92
Episode 1100, Avg Reward: -4435.07, Total Reward: -39915.66, Average Profit: 6.62, Average Distance: 5.98
Episode 1200, Avg Reward: -4430.74, Total Reward: -39876.63, Average Profit: 4.40, Average Distance: 7.72
Episode 1300, Avg Reward: -2211.64, Total Reward: -19904.77, Average Profit: 3.16, Average Distance: 8.49
Episode 1400, Avg Reward: 1.98, Total Reward: 17.84, Average Profit: 1.98, Average Distance: 10.46
Episode 1500, Avg Reward: -1098.28, Total Reward: -9884.53, Average Profit: 14.57, Average Distance: 9.37
Episode 1600, Avg Reward: -4422.97, Total Reward: -39806.69, Average Profit: 35.32, Average Distance: 5.86
Episode 1700, Avg Reward: -4424.66, Total Reward: -39821.92, Average Profit: 33.61, Average Distance: 4.94
Episode 1800, Avg Reward: -2203.28, Total Reward: -19829.55, Average Profit: 9.83, Average Distance: 10.25
Episode 1900, Avg Reward: -1086.84, Total Reward: -9781.55, Average Profit: 25.42, Average Distance: 8.89
