Episode 0, Avg Reward: -3316.53, Total Reward: -29848.79, Average Profit: 14.66, Average Distance: 9.00
Episode 100, Avg Reward: -2218.24, Total Reward: -19964.15, Average Profit: -8.19, Average Distance: 10.67
Episode 200, Avg Reward: -4423.43, Total Reward: -39810.87, Average Profit: 39.02, Average Distance: 6.39
Episode 300, Avg Reward: -3317.83, Total Reward: -29860.43, Average Profit: 9.57, Average Distance: 8.71
Episode 400, Avg Reward: -3324.85, Total Reward: -29923.64, Average Profit: 14.27, Average Distance: 9.10
Episode 500, Avg Reward: -3312.98, Total Reward: -29816.83, Average Profit: 23.66, Average Distance: 7.91
Episode 600, Avg Reward: -7772.06, Total Reward: -69948.55, Average Profit: 9.03, Average Distance: 2.35
Episode 700, Avg Reward: -3309.61, Total Reward: -29786.53, Average Profit: 16.92, Average Distance: 7.19
Episode 800, Avg Reward: -5544.77, Total Reward: -49902.92, Average Profit: 13.51, Average Distance: 7.59
Episode 900, Avg Reward: -2205.89, Total Reward: -19852.99, Average Profit: 11.68, Average Distance: 6.43
Episode 1000, Avg Reward: -4429.16, Total Reward: -39862.40, Average Profit: 8.38, Average Distance: 5.06
Episode 1100, Avg Reward: -2215.22, Total Reward: -19937.01, Average Profit: 6.26, Average Distance: 6.94
Episode 1200, Avg Reward: -3319.24, Total Reward: -29873.18, Average Profit: 9.16, Average Distance: 8.19
Episode 1300, Avg Reward: -1095.42, Total Reward: -9858.78, Average Profit: 13.73, Average Distance: 7.52
Episode 1400, Avg Reward: -2208.62, Total Reward: -19877.56, Average Profit: 12.61, Average Distance: 7.92
Episode 1500, Avg Reward: -2206.01, Total Reward: -19854.10, Average Profit: 17.95, Average Distance: 9.16
Episode 1600, Avg Reward: -3329.70, Total Reward: -29967.34, Average Profit: 5.79, Average Distance: 9.58
Episode 1700, Avg Reward: -2212.29, Total Reward: -19910.62, Average Profit: -3.31, Average Distance: 11.33
Episode 1800, Avg Reward: -3316.66, Total Reward: -29849.95, Average Profit: 19.29, Average Distance: 8.63
Episode 1900, Avg Reward: -2193.60, Total Reward: -19742.36, Average Profit: 29.03, Average Distance: 6.46
Episode 2000, Avg Reward: -3324.97, Total Reward: -29924.75, Average Profit: -0.26, Average Distance: 7.96
Episode 2100, Avg Reward: -2197.69, Total Reward: -19779.22, Average Profit: 20.96, Average Distance: 8.33
Episode 2200, Avg Reward: -3316.61, Total Reward: -29849.46, Average Profit: 18.13, Average Distance: 6.20
Episode 2300, Avg Reward: -4425.27, Total Reward: -39827.45, Average Profit: 9.24, Average Distance: 6.94
Episode 2400, Avg Reward: -3328.46, Total Reward: -29956.10, Average Profit: 4.95, Average Distance: 8.85
Episode 2500, Avg Reward: -2218.62, Total Reward: -19967.61, Average Profit: -3.58, Average Distance: 11.06
