Episode 0, Avg Reward: 10.15, Total Reward: 91.31, Average Profit: 10.15, Average Distance: 10.06
Episode 100, Avg Reward: 29.18, Total Reward: 262.59, Average Profit: 29.18, Average Distance: 5.92
Episode 200, Avg Reward: 9.66, Total Reward: 86.96, Average Profit: 9.66, Average Distance: 8.59
Episode 300, Avg Reward: 13.43, Total Reward: 120.90, Average Profit: 13.43, Average Distance: 8.23
Episode 400, Avg Reward: 18.86, Total Reward: 169.74, Average Profit: 18.86, Average Distance: 6.78
Episode 500, Avg Reward: 11.34, Total Reward: 102.10, Average Profit: 11.34, Average Distance: 8.25
Episode 600, Avg Reward: 36.50, Total Reward: 328.47, Average Profit: 36.50, Average Distance: 5.12
Episode 700, Avg Reward: 36.35, Total Reward: 327.15, Average Profit: 36.35, Average Distance: 4.52
Episode 800, Avg Reward: 35.71, Total Reward: 321.41, Average Profit: 35.71, Average Distance: 4.74
Episode 900, Avg Reward: 32.81, Total Reward: 295.26, Average Profit: 32.81, Average Distance: 5.86
Episode 1000, Avg Reward: 36.82, Total Reward: 331.35, Average Profit: 36.82, Average Distance: 5.05
Episode 1100, Avg Reward: 14.98, Total Reward: 134.86, Average Profit: 14.98, Average Distance: 8.00
Episode 1200, Avg Reward: 21.10, Total Reward: 189.94, Average Profit: 21.10, Average Distance: 7.02
Episode 1300, Avg Reward: 36.53, Total Reward: 328.74, Average Profit: 36.53, Average Distance: 4.71
Episode 1400, Avg Reward: 34.55, Total Reward: 310.94, Average Profit: 34.55, Average Distance: 5.59
Episode 1500, Avg Reward: 35.06, Total Reward: 315.58, Average Profit: 35.06, Average Distance: 4.45
Episode 1600, Avg Reward: 41.36, Total Reward: 372.27, Average Profit: 41.36, Average Distance: 3.82
Episode 1700, Avg Reward: 14.70, Total Reward: 132.26, Average Profit: 14.70, Average Distance: 8.97
Episode 1800, Avg Reward: 13.43, Total Reward: 120.84, Average Profit: 13.43, Average Distance: 7.97
Episode 1900, Avg Reward: 27.33, Total Reward: 245.94, Average Profit: 27.33, Average Distance: 6.85
Episode 2000, Avg Reward: 31.47, Total Reward: 283.20, Average Profit: 31.47, Average Distance: 5.32
Episode 2100, Avg Reward: 17.20, Total Reward: 154.79, Average Profit: 17.20, Average Distance: 7.24
Episode 2200, Avg Reward: 27.62, Total Reward: 248.60, Average Profit: 27.62, Average Distance: 6.77
Episode 2300, Avg Reward: 39.70, Total Reward: 357.30, Average Profit: 39.70, Average Distance: 4.20
Episode 2400, Avg Reward: 20.32, Total Reward: 182.92, Average Profit: 20.32, Average Distance: 6.94
Episode 2500, Avg Reward: 40.79, Total Reward: 367.13, Average Profit: 40.79, Average Distance: 3.71
Episode 2600, Avg Reward: 31.47, Total Reward: 283.20, Average Profit: 31.47, Average Distance: 5.32
Episode 2700, Avg Reward: 34.91, Total Reward: 314.19, Average Profit: 34.91, Average Distance: 5.36
Episode 2800, Avg Reward: 36.80, Total Reward: 331.19, Average Profit: 36.80, Average Distance: 4.14
Episode 2900, Avg Reward: 29.62, Total Reward: 266.58, Average Profit: 29.62, Average Distance: 5.63
Episode 3000, Avg Reward: 35.66, Total Reward: 320.91, Average Profit: 35.66, Average Distance: 4.27
Episode 3100, Avg Reward: 36.35, Total Reward: 327.14, Average Profit: 36.35, Average Distance: 4.29
Episode 3200, Avg Reward: 35.33, Total Reward: 317.93, Average Profit: 35.33, Average Distance: 4.73
Episode 3300, Avg Reward: 40.79, Total Reward: 367.13, Average Profit: 40.79, Average Distance: 3.71
Episode 3400, Avg Reward: 26.74, Total Reward: 240.67, Average Profit: 26.74, Average Distance: 6.03
Episode 3500, Avg Reward: 15.94, Total Reward: 143.43, Average Profit: 15.94, Average Distance: 6.92
Episode 3600, Avg Reward: 40.79, Total Reward: 367.13, Average Profit: 40.79, Average Distance: 3.71
Episode 3700, Avg Reward: 34.77, Total Reward: 312.94, Average Profit: 34.77, Average Distance: 5.35
Episode 3800, Avg Reward: 38.64, Total Reward: 347.78, Average Profit: 38.64, Average Distance: 4.60
Episode 3900, Avg Reward: 39.83, Total Reward: 358.45, Average Profit: 39.83, Average Distance: 4.20
Episode 4000, Avg Reward: 38.51, Total Reward: 346.58, Average Profit: 38.51, Average Distance: 4.61
Episode 4100, Avg Reward: 40.79, Total Reward: 367.13, Average Profit: 40.79, Average Distance: 3.71
Episode 4200, Avg Reward: 37.80, Total Reward: 340.16, Average Profit: 37.80, Average Distance: 4.35
Episode 4300, Avg Reward: 37.68, Total Reward: 339.12, Average Profit: 37.68, Average Distance: 4.35
Episode 4400, Avg Reward: 40.79, Total Reward: 367.13, Average Profit: 40.79, Average Distance: 3.71
Episode 4500, Avg Reward: 36.40, Total Reward: 327.59, Average Profit: 36.40, Average Distance: 5.05
Episode 4600, Avg Reward: 36.40, Total Reward: 327.59, Average Profit: 36.40, Average Distance: 5.05
Episode 4700, Avg Reward: 39.83, Total Reward: 358.45, Average Profit: 39.83, Average Distance: 4.20
Episode 4800, Avg Reward: 39.83, Total Reward: 358.45, Average Profit: 39.83, Average Distance: 4.20
Episode 4900, Avg Reward: 22.72, Total Reward: 204.49, Average Profit: 22.72, Average Distance: 6.97
Episode 5000, Avg Reward: 39.83, Total Reward: 358.45, Average Profit: 39.83, Average Distance: 4.20
Episode 5100, Avg Reward: 40.79, Total Reward: 367.13, Average Profit: 40.79, Average Distance: 3.71
Episode 5200, Avg Reward: 39.83, Total Reward: 358.45, Average Profit: 39.83, Average Distance: 4.20
Episode 5300, Avg Reward: 32.75, Total Reward: 294.79, Average Profit: 32.75, Average Distance: 5.58
Episode 5400, Avg Reward: 39.83, Total Reward: 358.45, Average Profit: 39.83, Average Distance: 4.20
Episode 5500, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5800, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 5900, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 6000, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 6100, Avg Reward: 32.17, Total Reward: 289.52, Average Profit: 32.17, Average Distance: 6.20
Episode 6200, Avg Reward: 16.53, Total Reward: 148.74, Average Profit: 16.53, Average Distance: 8.31
Episode 6300, Avg Reward: 18.36, Total Reward: 165.26, Average Profit: 18.36, Average Distance: 8.16
Episode 6400, Avg Reward: 19.61, Total Reward: 176.51, Average Profit: 19.61, Average Distance: 7.50
Episode 6500, Avg Reward: -0.74, Total Reward: -6.64, Average Profit: -0.74, Average Distance: 10.37
Episode 6600, Avg Reward: 9.92, Total Reward: 89.32, Average Profit: 9.92, Average Distance: 9.22
Episode 6700, Avg Reward: 9.92, Total Reward: 89.32, Average Profit: 9.92, Average Distance: 9.22
Episode 6800, Avg Reward: 9.92, Total Reward: 89.32, Average Profit: 9.92, Average Distance: 9.22
Episode 6900, Avg Reward: 9.92, Total Reward: 89.32, Average Profit: 9.92, Average Distance: 9.22
Episode 7000, Avg Reward: 20.97, Total Reward: 188.71, Average Profit: 20.97, Average Distance: 7.86
Episode 7100, Avg Reward: 17.21, Total Reward: 154.88, Average Profit: 17.21, Average Distance: 8.35
Episode 7200, Avg Reward: 19.02, Total Reward: 171.17, Average Profit: 19.02, Average Distance: 7.96
Episode 7300, Avg Reward: 19.75, Total Reward: 177.78, Average Profit: 19.75, Average Distance: 8.05
Episode 7400, Avg Reward: 19.75, Total Reward: 177.78, Average Profit: 19.75, Average Distance: 8.05
Episode 7500, Avg Reward: 13.30, Total Reward: 119.67, Average Profit: 13.30, Average Distance: 8.93
Episode 7600, Avg Reward: 22.97, Total Reward: 206.74, Average Profit: 22.97, Average Distance: 7.34
Episode 7700, Avg Reward: 22.97, Total Reward: 206.74, Average Profit: 22.97, Average Distance: 7.34
Episode 7800, Avg Reward: 21.88, Total Reward: 196.91, Average Profit: 21.88, Average Distance: 7.61
Episode 7900, Avg Reward: 16.73, Total Reward: 150.55, Average Profit: 16.73, Average Distance: 8.80
Episode 8000, Avg Reward: 18.19, Total Reward: 163.72, Average Profit: 18.19, Average Distance: 8.40
Episode 8100, Avg Reward: 18.05, Total Reward: 162.42, Average Profit: 18.05, Average Distance: 8.00
Episode 8200, Avg Reward: 17.67, Total Reward: 158.99, Average Profit: 17.67, Average Distance: 8.34
Episode 8300, Avg Reward: 17.67, Total Reward: 158.99, Average Profit: 17.67, Average Distance: 8.34
Episode 8400, Avg Reward: 21.54, Total Reward: 193.83, Average Profit: 21.54, Average Distance: 8.53
Episode 8500, Avg Reward: 27.40, Total Reward: 246.63, Average Profit: 27.40, Average Distance: 7.39
Episode 8600, Avg Reward: 31.07, Total Reward: 279.59, Average Profit: 31.07, Average Distance: 6.34
Episode 8700, Avg Reward: 37.89, Total Reward: 340.98, Average Profit: 37.89, Average Distance: 4.96
Episode 8800, Avg Reward: 34.24, Total Reward: 308.13, Average Profit: 34.24, Average Distance: 5.54
Episode 8900, Avg Reward: 30.98, Total Reward: 278.78, Average Profit: 30.98, Average Distance: 6.20
Episode 9000, Avg Reward: 32.71, Total Reward: 294.41, Average Profit: 32.71, Average Distance: 6.08
Episode 9100, Avg Reward: 29.88, Total Reward: 268.91, Average Profit: 29.88, Average Distance: 5.24
Episode 9200, Avg Reward: 39.50, Total Reward: 355.51, Average Profit: 39.50, Average Distance: 5.50
Episode 9300, Avg Reward: 40.20, Total Reward: 361.84, Average Profit: 40.20, Average Distance: 5.29
Episode 9400, Avg Reward: 39.50, Total Reward: 355.51, Average Profit: 39.50, Average Distance: 5.50
Episode 9500, Avg Reward: 40.20, Total Reward: 361.84, Average Profit: 40.20, Average Distance: 5.29
Episode 9600, Avg Reward: 40.20, Total Reward: 361.84, Average Profit: 40.20, Average Distance: 5.29
Episode 9700, Avg Reward: 40.20, Total Reward: 361.84, Average Profit: 40.20, Average Distance: 5.29
Episode 9800, Avg Reward: 40.20, Total Reward: 361.84, Average Profit: 40.20, Average Distance: 5.29
Episode 9900, Avg Reward: 40.20, Total Reward: 361.84, Average Profit: 40.20, Average Distance: 5.29
233.10033132047653
Model saved to model.pth
