Episode 0, Avg Reward: 12.56, Total Reward: 113.08, Average Profit: 12.56, Average Distance: 8.54
Episode 100, Avg Reward: 20.89, Total Reward: 188.00, Average Profit: 20.89, Average Distance: 7.66
Episode 200, Avg Reward: 12.62, Total Reward: 113.60, Average Profit: 12.62, Average Distance: 8.34
Episode 300, Avg Reward: 19.26, Total Reward: 173.30, Average Profit: 19.26, Average Distance: 7.80
Episode 400, Avg Reward: 27.54, Total Reward: 247.88, Average Profit: 27.54, Average Distance: 6.29
Episode 500, Avg Reward: 31.03, Total Reward: 279.27, Average Profit: 31.03, Average Distance: 6.76
Episode 600, Avg Reward: 36.59, Total Reward: 329.33, Average Profit: 36.59, Average Distance: 4.62
Episode 700, Avg Reward: 32.07, Total Reward: 288.67, Average Profit: 32.07, Average Distance: 5.05
Episode 800, Avg Reward: 28.49, Total Reward: 256.40, Average Profit: 28.49, Average Distance: 6.52
Episode 900, Avg Reward: 33.71, Total Reward: 303.42, Average Profit: 33.71, Average Distance: 6.03
Episode 1000, Avg Reward: 29.32, Total Reward: 263.90, Average Profit: 29.32, Average Distance: 5.92
Episode 1100, Avg Reward: 21.18, Total Reward: 190.58, Average Profit: 21.18, Average Distance: 7.50
Episode 1200, Avg Reward: 29.88, Total Reward: 268.92, Average Profit: 29.88, Average Distance: 5.69
Episode 1300, Avg Reward: 30.66, Total Reward: 275.96, Average Profit: 30.66, Average Distance: 5.20
Episode 1400, Avg Reward: 36.85, Total Reward: 331.61, Average Profit: 36.85, Average Distance: 4.57
Episode 1500, Avg Reward: 30.86, Total Reward: 277.73, Average Profit: 30.86, Average Distance: 5.90
Episode 1600, Avg Reward: 36.85, Total Reward: 331.61, Average Profit: 36.85, Average Distance: 4.57
Episode 1700, Avg Reward: 26.17, Total Reward: 235.57, Average Profit: 26.17, Average Distance: 6.31
Episode 1800, Avg Reward: 25.01, Total Reward: 225.08, Average Profit: 25.01, Average Distance: 5.91
Episode 1900, Avg Reward: 35.82, Total Reward: 322.38, Average Profit: 35.82, Average Distance: 5.63
Episode 2000, Avg Reward: 32.21, Total Reward: 289.92, Average Profit: 32.21, Average Distance: 6.27
Episode 2100, Avg Reward: 35.71, Total Reward: 321.41, Average Profit: 35.71, Average Distance: 4.74
Episode 2200, Avg Reward: 25.30, Total Reward: 227.72, Average Profit: 25.30, Average Distance: 6.43
Episode 2300, Avg Reward: 34.23, Total Reward: 308.04, Average Profit: 34.23, Average Distance: 4.77
Episode 2400, Avg Reward: 26.26, Total Reward: 236.30, Average Profit: 26.26, Average Distance: 7.60
Episode 2500, Avg Reward: 39.13, Total Reward: 352.15, Average Profit: 39.13, Average Distance: 4.27
Episode 2600, Avg Reward: 37.42, Total Reward: 336.79, Average Profit: 37.42, Average Distance: 4.76
Episode 2700, Avg Reward: 39.21, Total Reward: 352.85, Average Profit: 39.21, Average Distance: 4.22
Episode 2800, Avg Reward: 39.21, Total Reward: 352.92, Average Profit: 39.21, Average Distance: 4.37
Episode 2900, Avg Reward: 38.02, Total Reward: 342.15, Average Profit: 38.02, Average Distance: 4.45
Episode 3000, Avg Reward: 38.75, Total Reward: 348.78, Average Profit: 38.75, Average Distance: 4.55
Episode 3100, Avg Reward: 34.23, Total Reward: 308.04, Average Profit: 34.23, Average Distance: 4.77
Episode 3200, Avg Reward: 39.21, Total Reward: 352.92, Average Profit: 39.21, Average Distance: 4.37
Episode 3300, Avg Reward: 39.21, Total Reward: 352.92, Average Profit: 39.21, Average Distance: 4.37
Episode 3400, Avg Reward: 31.48, Total Reward: 283.36, Average Profit: 31.48, Average Distance: 5.15
Episode 3500, Avg Reward: 34.36, Total Reward: 309.22, Average Profit: 34.36, Average Distance: 4.81
Episode 3600, Avg Reward: 39.21, Total Reward: 352.92, Average Profit: 39.21, Average Distance: 4.37
Episode 3700, Avg Reward: 39.21, Total Reward: 352.92, Average Profit: 39.21, Average Distance: 4.37
Episode 3800, Avg Reward: 37.42, Total Reward: 336.79, Average Profit: 37.42, Average Distance: 4.76
Episode 3900, Avg Reward: 39.21, Total Reward: 352.92, Average Profit: 39.21, Average Distance: 4.37
Episode 4000, Avg Reward: 35.94, Total Reward: 323.48, Average Profit: 35.94, Average Distance: 4.96
Episode 4100, Avg Reward: 40.07, Total Reward: 360.59, Average Profit: 40.07, Average Distance: 3.95
Episode 4200, Avg Reward: 40.07, Total Reward: 360.59, Average Profit: 40.07, Average Distance: 3.95
Episode 4300, Avg Reward: 40.07, Total Reward: 360.59, Average Profit: 40.07, Average Distance: 3.95
Episode 4400, Avg Reward: 39.21, Total Reward: 352.92, Average Profit: 39.21, Average Distance: 4.37
Episode 4500, Avg Reward: 39.20, Total Reward: 352.76, Average Profit: 39.20, Average Distance: 4.24
Episode 4600, Avg Reward: 39.21, Total Reward: 352.92, Average Profit: 39.21, Average Distance: 4.37
Episode 4700, Avg Reward: 39.21, Total Reward: 352.92, Average Profit: 39.21, Average Distance: 4.37
Episode 4800, Avg Reward: 38.75, Total Reward: 348.78, Average Profit: 38.75, Average Distance: 4.55
Episode 4900, Avg Reward: 37.16, Total Reward: 334.40, Average Profit: 37.16, Average Distance: 4.33
Episode 5000, Avg Reward: 27.51, Total Reward: 247.55, Average Profit: 27.51, Average Distance: 7.36
Episode 5100, Avg Reward: 29.67, Total Reward: 267.07, Average Profit: 29.67, Average Distance: 6.62
Episode 5200, Avg Reward: -3.78, Total Reward: -33.99, Average Profit: -3.78, Average Distance: 11.24
Episode 5300, Avg Reward: -4.06, Total Reward: -36.55, Average Profit: -4.06, Average Distance: 11.11
Episode 5400, Avg Reward: -0.91, Total Reward: -8.20, Average Profit: -0.91, Average Distance: 10.52
Episode 5500, Avg Reward: -4.96, Total Reward: -44.68, Average Profit: -4.96, Average Distance: 11.63
Episode 5600, Avg Reward: -4.79, Total Reward: -43.14, Average Profit: -4.79, Average Distance: 11.20
Episode 5700, Avg Reward: -4.96, Total Reward: -44.68, Average Profit: -4.96, Average Distance: 11.63
Episode 5800, Avg Reward: -3.54, Total Reward: -31.82, Average Profit: -3.54, Average Distance: 11.49
Episode 5900, Avg Reward: -2.54, Total Reward: -22.88, Average Profit: -2.54, Average Distance: 10.81
Episode 6000, Avg Reward: -3.54, Total Reward: -31.82, Average Profit: -3.54, Average Distance: 11.49
Episode 6100, Avg Reward: -4.96, Total Reward: -44.68, Average Profit: -4.96, Average Distance: 11.63
Episode 6200, Avg Reward: -2.64, Total Reward: -23.78, Average Profit: -2.64, Average Distance: 10.79
Episode 6300, Avg Reward: 4.35, Total Reward: 39.13, Average Profit: 4.35, Average Distance: 10.39
Episode 6400, Avg Reward: -3.54, Total Reward: -31.82, Average Profit: -3.54, Average Distance: 11.49
Episode 6500, Avg Reward: -1.95, Total Reward: -17.57, Average Profit: -1.95, Average Distance: 10.68
Episode 6600, Avg Reward: -4.45, Total Reward: -40.06, Average Profit: -4.45, Average Distance: 11.65
Episode 6700, Avg Reward: -4.45, Total Reward: -40.06, Average Profit: -4.45, Average Distance: 11.65
Episode 6800, Avg Reward: -1.95, Total Reward: -17.57, Average Profit: -1.95, Average Distance: 10.68
Episode 6900, Avg Reward: -3.93, Total Reward: -35.37, Average Profit: -3.93, Average Distance: 10.77
Episode 7000, Avg Reward: -4.09, Total Reward: -36.82, Average Profit: -4.09, Average Distance: 10.77
Episode 7100, Avg Reward: -1.95, Total Reward: -17.57, Average Profit: -1.95, Average Distance: 10.68
Episode 7200, Avg Reward: -4.95, Total Reward: -44.59, Average Profit: -4.95, Average Distance: 11.20
Episode 7300, Avg Reward: -4.95, Total Reward: -44.59, Average Profit: -4.95, Average Distance: 11.20
Episode 7400, Avg Reward: 1.33, Total Reward: 12.00, Average Profit: 1.33, Average Distance: 10.23
Episode 7500, Avg Reward: 3.46, Total Reward: 31.11, Average Profit: 3.46, Average Distance: 9.83
Episode 7600, Avg Reward: -4.95, Total Reward: -44.59, Average Profit: -4.95, Average Distance: 11.20
Episode 7700, Avg Reward: -4.95, Total Reward: -44.59, Average Profit: -4.95, Average Distance: 11.20
Episode 7800, Avg Reward: -4.95, Total Reward: -44.59, Average Profit: -4.95, Average Distance: 11.20
Episode 7900, Avg Reward: -4.95, Total Reward: -44.59, Average Profit: -4.95, Average Distance: 11.20
Episode 8000, Avg Reward: 6.82, Total Reward: 61.34, Average Profit: 6.82, Average Distance: 9.16
Episode 8100, Avg Reward: 7.48, Total Reward: 67.29, Average Profit: 7.48, Average Distance: 8.63
Episode 8200, Avg Reward: 6.82, Total Reward: 61.34, Average Profit: 6.82, Average Distance: 9.16
Episode 8300, Avg Reward: 6.82, Total Reward: 61.34, Average Profit: 6.82, Average Distance: 9.16
Episode 8400, Avg Reward: -4.09, Total Reward: -36.82, Average Profit: -4.09, Average Distance: 10.77
Episode 8500, Avg Reward: -5.38, Total Reward: -48.39, Average Profit: -5.38, Average Distance: 11.42
Episode 8600, Avg Reward: -4.95, Total Reward: -44.59, Average Profit: -4.95, Average Distance: 11.20
Episode 8700, Avg Reward: -4.95, Total Reward: -44.59, Average Profit: -4.95, Average Distance: 11.20
Episode 8800, Avg Reward: -4.95, Total Reward: -44.59, Average Profit: -4.95, Average Distance: 11.20
Episode 8900, Avg Reward: -4.95, Total Reward: -44.59, Average Profit: -4.95, Average Distance: 11.20
Episode 9000, Avg Reward: -4.95, Total Reward: -44.59, Average Profit: -4.95, Average Distance: 11.20
Episode 9100, Avg Reward: 7.68, Total Reward: 69.11, Average Profit: 7.68, Average Distance: 8.73
Episode 9200, Avg Reward: 6.82, Total Reward: 61.34, Average Profit: 6.82, Average Distance: 9.16
Episode 9300, Avg Reward: 6.82, Total Reward: 61.34, Average Profit: 6.82, Average Distance: 9.16
Episode 9400, Avg Reward: 5.41, Total Reward: 48.70, Average Profit: 5.41, Average Distance: 9.71
Episode 9500, Avg Reward: 10.04, Total Reward: 90.38, Average Profit: 10.04, Average Distance: 8.54
Episode 9600, Avg Reward: 6.27, Total Reward: 56.47, Average Profit: 6.27, Average Distance: 9.28
Episode 9700, Avg Reward: 5.41, Total Reward: 48.70, Average Profit: 5.41, Average Distance: 9.71
Episode 9800, Avg Reward: 5.41, Total Reward: 48.70, Average Profit: 5.41, Average Distance: 9.71
Episode 9900, Avg Reward: 5.41, Total Reward: 48.70, Average Profit: 5.41, Average Distance: 9.71
96.20959507402182
Model saved to model.pth
