Episode 0, Avg Reward: 11.55, Total Reward: 103.94, Average Profit: 11.55, Average Distance: 8.55
Episode 100, Avg Reward: 29.73, Total Reward: 267.56, Average Profit: 29.73, Average Distance: 6.71
Episode 200, Avg Reward: 15.48, Total Reward: 139.31, Average Profit: 15.48, Average Distance: 8.07
Episode 300, Avg Reward: 4.07, Total Reward: 36.59, Average Profit: 4.07, Average Distance: 9.68
Episode 400, Avg Reward: 29.62, Total Reward: 266.58, Average Profit: 29.62, Average Distance: 5.63
Episode 500, Avg Reward: 6.63, Total Reward: 59.69, Average Profit: 6.63, Average Distance: 8.41
Episode 600, Avg Reward: 27.43, Total Reward: 246.91, Average Profit: 27.43, Average Distance: 7.06
Episode 700, Avg Reward: 29.50, Total Reward: 265.48, Average Profit: 29.50, Average Distance: 5.90
Episode 800, Avg Reward: 26.34, Total Reward: 237.07, Average Profit: 26.34, Average Distance: 5.99
Episode 900, Avg Reward: 33.08, Total Reward: 297.68, Average Profit: 33.08, Average Distance: 4.94
Episode 1000, Avg Reward: 38.88, Total Reward: 349.89, Average Profit: 38.88, Average Distance: 4.68
Episode 1100, Avg Reward: 11.16, Total Reward: 100.47, Average Profit: 11.16, Average Distance: 8.58
Episode 1200, Avg Reward: 29.24, Total Reward: 263.19, Average Profit: 29.24, Average Distance: 6.34
Episode 1300, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 1400, Avg Reward: 34.55, Total Reward: 310.99, Average Profit: 34.55, Average Distance: 5.54
Episode 1500, Avg Reward: 32.19, Total Reward: 289.72, Average Profit: 32.19, Average Distance: 5.16
Episode 1600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 1700, Avg Reward: 9.50, Total Reward: 85.46, Average Profit: 9.50, Average Distance: 8.88
Episode 1800, Avg Reward: 24.66, Total Reward: 221.90, Average Profit: 24.66, Average Distance: 6.22
Episode 1900, Avg Reward: 34.89, Total Reward: 314.03, Average Profit: 34.89, Average Distance: 4.97
Episode 2000, Avg Reward: 41.11, Total Reward: 369.95, Average Profit: 41.11, Average Distance: 4.34
Episode 2100, Avg Reward: 29.32, Total Reward: 263.85, Average Profit: 29.32, Average Distance: 6.17
Episode 2200, Avg Reward: 33.40, Total Reward: 300.61, Average Profit: 33.40, Average Distance: 6.04
Episode 2300, Avg Reward: 39.73, Total Reward: 357.59, Average Profit: 39.73, Average Distance: 4.52
Episode 2400, Avg Reward: 34.12, Total Reward: 307.06, Average Profit: 34.12, Average Distance: 5.66
Episode 2500, Avg Reward: 41.36, Total Reward: 372.27, Average Profit: 41.36, Average Distance: 3.82
Episode 2600, Avg Reward: 38.88, Total Reward: 349.89, Average Profit: 38.88, Average Distance: 4.68
Episode 2700, Avg Reward: 31.93, Total Reward: 287.40, Average Profit: 31.93, Average Distance: 5.27
Episode 2800, Avg Reward: 24.69, Total Reward: 222.22, Average Profit: 24.69, Average Distance: 6.37
Episode 2900, Avg Reward: 33.04, Total Reward: 297.32, Average Profit: 33.04, Average Distance: 5.10
Episode 3000, Avg Reward: 36.34, Total Reward: 327.07, Average Profit: 36.34, Average Distance: 4.36
Episode 3100, Avg Reward: 39.85, Total Reward: 358.68, Average Profit: 39.85, Average Distance: 4.46
Episode 3200, Avg Reward: 38.83, Total Reward: 349.45, Average Profit: 38.83, Average Distance: 4.17
Episode 3300, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 3400, Avg Reward: 33.67, Total Reward: 303.02, Average Profit: 33.67, Average Distance: 4.74
Episode 3500, Avg Reward: 29.24, Total Reward: 263.17, Average Profit: 29.24, Average Distance: 5.47
Episode 3600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 3700, Avg Reward: 36.50, Total Reward: 328.47, Average Profit: 36.50, Average Distance: 5.12
Episode 3800, Avg Reward: 32.86, Total Reward: 295.75, Average Profit: 32.86, Average Distance: 5.08
Episode 3900, Avg Reward: 39.85, Total Reward: 358.68, Average Profit: 39.85, Average Distance: 4.46
Episode 4000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4300, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4500, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4900, Avg Reward: 25.13, Total Reward: 226.19, Average Profit: 25.13, Average Distance: 6.05
Episode 5000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5300, Avg Reward: 37.19, Total Reward: 334.67, Average Profit: 37.19, Average Distance: 4.93
Episode 5400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5500, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6100, Avg Reward: 38.83, Total Reward: 349.45, Average Profit: 38.83, Average Distance: 4.17
Episode 6200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6300, Avg Reward: 33.86, Total Reward: 304.73, Average Profit: 33.86, Average Distance: 5.04
Episode 6400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6500, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7000, Avg Reward: 39.98, Total Reward: 359.83, Average Profit: 39.98, Average Distance: 3.88
Episode 7100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7300, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7500, Avg Reward: 28.73, Total Reward: 258.54, Average Profit: 28.73, Average Distance: 5.99
Episode 7600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8300, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8500, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9300, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9500, Avg Reward: 37.60, Total Reward: 338.38, Average Profit: 37.60, Average Distance: 5.03
Episode 9600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 10000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 10100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 10200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 10300, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 10400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 10500, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 10600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 10700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 10800, Avg Reward: 25.31, Total Reward: 227.76, Average Profit: 25.31, Average Distance: 6.59
Episode 10900, Avg Reward: 38.83, Total Reward: 349.45, Average Profit: 38.83, Average Distance: 4.17
Episode 11000, Avg Reward: 38.83, Total Reward: 349.45, Average Profit: 38.83, Average Distance: 4.17
Episode 11100, Avg Reward: 36.82, Total Reward: 331.36, Average Profit: 36.82, Average Distance: 4.83
Episode 11200, Avg Reward: 28.00, Total Reward: 252.03, Average Profit: 28.00, Average Distance: 6.99
Episode 11300, Avg Reward: 25.26, Total Reward: 227.38, Average Profit: 25.26, Average Distance: 7.16
Episode 11400, Avg Reward: 23.24, Total Reward: 209.17, Average Profit: 23.24, Average Distance: 7.68
Episode 11500, Avg Reward: 13.79, Total Reward: 124.12, Average Profit: 13.79, Average Distance: 9.03
Episode 11600, Avg Reward: -3.47, Total Reward: -31.19, Average Profit: -3.47, Average Distance: 11.55
Episode 11700, Avg Reward: -2.95, Total Reward: -26.55, Average Profit: -2.95, Average Distance: 11.57
Episode 11800, Avg Reward: -3.89, Total Reward: -35.04, Average Profit: -3.89, Average Distance: 11.61
Episode 11900, Avg Reward: -3.89, Total Reward: -35.04, Average Profit: -3.89, Average Distance: 11.61
Episode 12000, Avg Reward: -3.89, Total Reward: -35.04, Average Profit: -3.89, Average Distance: 11.61
Episode 12100, Avg Reward: -3.89, Total Reward: -35.04, Average Profit: -3.89, Average Distance: 11.61
Episode 12200, Avg Reward: 1.39, Total Reward: 12.53, Average Profit: 1.39, Average Distance: 10.81
Episode 12300, Avg Reward: 3.67, Total Reward: 33.02, Average Profit: 3.67, Average Distance: 10.26
Episode 12400, Avg Reward: -2.34, Total Reward: -21.07, Average Profit: -2.34, Average Distance: 11.30
Episode 12500, Avg Reward: 2.54, Total Reward: 22.90, Average Profit: 2.54, Average Distance: 10.62
Episode 12600, Avg Reward: 3.67, Total Reward: 33.02, Average Profit: 3.67, Average Distance: 10.26
Episode 12700, Avg Reward: -2.34, Total Reward: -21.07, Average Profit: -2.34, Average Distance: 11.30
Episode 12800, Avg Reward: 3.67, Total Reward: 33.02, Average Profit: 3.67, Average Distance: 10.26
Episode 12900, Avg Reward: -2.34, Total Reward: -21.07, Average Profit: -2.34, Average Distance: 11.30
Episode 13000, Avg Reward: 3.67, Total Reward: 33.02, Average Profit: 3.67, Average Distance: 10.26
Episode 13100, Avg Reward: -2.34, Total Reward: -21.07, Average Profit: -2.34, Average Distance: 11.30
Episode 13200, Avg Reward: 3.67, Total Reward: 33.02, Average Profit: 3.67, Average Distance: 10.26
Episode 13300, Avg Reward: 3.67, Total Reward: 33.02, Average Profit: 3.67, Average Distance: 10.26
Episode 13400, Avg Reward: 5.47, Total Reward: 49.26, Average Profit: 5.47, Average Distance: 10.26
Episode 13500, Avg Reward: -2.34, Total Reward: -21.07, Average Profit: -2.34, Average Distance: 11.30
Episode 13600, Avg Reward: -2.34, Total Reward: -21.07, Average Profit: -2.34, Average Distance: 11.30
Episode 13700, Avg Reward: 5.47, Total Reward: 49.26, Average Profit: 5.47, Average Distance: 10.26
Episode 13800, Avg Reward: 3.67, Total Reward: 33.02, Average Profit: 3.67, Average Distance: 10.26
Episode 13900, Avg Reward: 5.47, Total Reward: 49.26, Average Profit: 5.47, Average Distance: 10.26
Episode 14000, Avg Reward: 20.86, Total Reward: 187.75, Average Profit: 20.86, Average Distance: 7.58
Episode 14100, Avg Reward: 20.86, Total Reward: 187.75, Average Profit: 20.86, Average Distance: 7.58
Episode 14200, Avg Reward: 17.55, Total Reward: 157.92, Average Profit: 17.55, Average Distance: 8.36
Episode 14300, Avg Reward: 24.92, Total Reward: 224.24, Average Profit: 24.92, Average Distance: 7.82
Episode 14400, Avg Reward: 25.94, Total Reward: 233.49, Average Profit: 25.94, Average Distance: 7.20
Episode 14500, Avg Reward: 38.70, Total Reward: 348.28, Average Profit: 38.70, Average Distance: 4.88
Episode 14600, Avg Reward: 18.90, Total Reward: 170.07, Average Profit: 18.90, Average Distance: 9.12
Episode 14700, Avg Reward: 18.12, Total Reward: 163.07, Average Profit: 18.12, Average Distance: 8.93
Episode 14800, Avg Reward: -1.19, Total Reward: -10.75, Average Profit: -1.19, Average Distance: 10.72
Episode 14900, Avg Reward: 22.95, Total Reward: 206.52, Average Profit: 22.95, Average Distance: 7.52
Episode 15000, Avg Reward: 33.27, Total Reward: 299.39, Average Profit: 33.27, Average Distance: 6.49
Episode 15100, Avg Reward: 39.17, Total Reward: 352.57, Average Profit: 39.17, Average Distance: 4.64
Episode 15200, Avg Reward: 36.44, Total Reward: 327.95, Average Profit: 36.44, Average Distance: 5.36
Episode 15300, Avg Reward: 41.11, Total Reward: 369.95, Average Profit: 41.11, Average Distance: 4.34
Episode 15400, Avg Reward: 31.12, Total Reward: 280.04, Average Profit: 31.12, Average Distance: 6.13
Episode 15500, Avg Reward: 37.89, Total Reward: 340.98, Average Profit: 37.89, Average Distance: 4.96
Episode 15600, Avg Reward: 37.89, Total Reward: 340.98, Average Profit: 37.89, Average Distance: 4.96
Episode 15700, Avg Reward: 38.70, Total Reward: 348.28, Average Profit: 38.70, Average Distance: 4.88
Episode 15800, Avg Reward: 34.94, Total Reward: 314.43, Average Profit: 34.94, Average Distance: 5.35
Episode 15900, Avg Reward: 26.56, Total Reward: 239.00, Average Profit: 26.56, Average Distance: 6.90
Episode 16000, Avg Reward: 26.56, Total Reward: 239.00, Average Profit: 26.56, Average Distance: 6.90
Episode 16100, Avg Reward: 29.24, Total Reward: 263.14, Average Profit: 29.24, Average Distance: 6.51
Episode 16200, Avg Reward: 23.59, Total Reward: 212.35, Average Profit: 23.59, Average Distance: 7.66
Episode 16300, Avg Reward: 2.54, Total Reward: 22.90, Average Profit: 2.54, Average Distance: 10.62
Episode 16400, Avg Reward: 29.85, Total Reward: 268.65, Average Profit: 29.85, Average Distance: 6.20
Episode 16500, Avg Reward: 33.27, Total Reward: 299.45, Average Profit: 33.27, Average Distance: 5.91
Episode 16600, Avg Reward: 38.70, Total Reward: 348.28, Average Profit: 38.70, Average Distance: 4.88
Episode 16700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 16800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 16900, Avg Reward: 37.78, Total Reward: 340.03, Average Profit: 37.78, Average Distance: 4.81
Episode 17000, Avg Reward: 37.78, Total Reward: 340.03, Average Profit: 37.78, Average Distance: 4.81
Episode 17100, Avg Reward: 37.78, Total Reward: 340.03, Average Profit: 37.78, Average Distance: 4.81
Episode 17200, Avg Reward: 37.78, Total Reward: 340.03, Average Profit: 37.78, Average Distance: 4.81
Episode 17300, Avg Reward: 38.83, Total Reward: 349.45, Average Profit: 38.83, Average Distance: 4.17
Episode 17400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 17500, Avg Reward: 39.21, Total Reward: 352.85, Average Profit: 39.21, Average Distance: 4.31
Episode 17600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 17700, Avg Reward: 33.44, Total Reward: 300.97, Average Profit: 33.44, Average Distance: 5.69
Episode 17800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 17900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 18000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 18100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 18200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 18300, Avg Reward: 29.26, Total Reward: 263.31, Average Profit: 29.26, Average Distance: 5.89
Episode 18400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 18500, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 18600, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 18700, Avg Reward: 39.55, Total Reward: 355.91, Average Profit: 39.55, Average Distance: 4.22
Episode 18800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 18900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 19000, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 19100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 19200, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 19300, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 19400, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
Episode 19500, Avg Reward: 39.19, Total Reward: 352.74, Average Profit: 39.19, Average Distance: 4.24
