Episode 0, Avg Reward: 8.86, Total Reward: 79.73, Average Profit: 8.86, Average Distance: 9.25
Episode 100, Avg Reward: 32.24, Total Reward: 290.19, Average Profit: 32.24, Average Distance: 5.73
Episode 200, Avg Reward: 17.53, Total Reward: 157.80, Average Profit: 17.53, Average Distance: 7.84
Episode 300, Avg Reward: 19.63, Total Reward: 176.70, Average Profit: 19.63, Average Distance: 8.01
Episode 400, Avg Reward: 28.94, Total Reward: 260.42, Average Profit: 28.94, Average Distance: 6.42
Episode 500, Avg Reward: 24.26, Total Reward: 218.31, Average Profit: 24.26, Average Distance: 7.56
Episode 600, Avg Reward: 26.47, Total Reward: 238.23, Average Profit: 26.47, Average Distance: 6.15
Episode 700, Avg Reward: 14.34, Total Reward: 129.02, Average Profit: 14.34, Average Distance: 9.21
Episode 800, Avg Reward: 28.71, Total Reward: 258.38, Average Profit: 28.71, Average Distance: 6.59
Episode 900, Avg Reward: 38.64, Total Reward: 347.78, Average Profit: 38.64, Average Distance: 4.60
Episode 1000, Avg Reward: 32.83, Total Reward: 295.50, Average Profit: 32.83, Average Distance: 5.00
Episode 1100, Avg Reward: 26.14, Total Reward: 235.25, Average Profit: 26.14, Average Distance: 6.49
Episode 1200, Avg Reward: 30.71, Total Reward: 276.36, Average Profit: 30.71, Average Distance: 6.31
Episode 1300, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 1400, Avg Reward: 29.07, Total Reward: 261.63, Average Profit: 29.07, Average Distance: 6.16
Episode 1500, Avg Reward: 40.79, Total Reward: 367.13, Average Profit: 40.79, Average Distance: 3.71
Episode 1600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 1700, Avg Reward: 30.81, Total Reward: 277.29, Average Profit: 30.81, Average Distance: 5.30
Episode 1800, Avg Reward: 39.47, Total Reward: 355.20, Average Profit: 39.47, Average Distance: 4.80
Episode 1900, Avg Reward: 39.21, Total Reward: 352.85, Average Profit: 39.21, Average Distance: 4.22
Episode 2000, Avg Reward: 28.31, Total Reward: 254.80, Average Profit: 28.31, Average Distance: 5.81
Episode 2100, Avg Reward: 23.64, Total Reward: 212.80, Average Profit: 23.64, Average Distance: 6.44
Episode 2200, Avg Reward: 39.21, Total Reward: 352.85, Average Profit: 39.21, Average Distance: 4.22
Episode 2300, Avg Reward: 36.34, Total Reward: 327.07, Average Profit: 36.34, Average Distance: 4.36
Episode 2400, Avg Reward: 34.57, Total Reward: 311.17, Average Profit: 34.57, Average Distance: 5.30
Episode 2500, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 2600, Avg Reward: 31.49, Total Reward: 283.40, Average Profit: 31.49, Average Distance: 5.30
Episode 2700, Avg Reward: 36.58, Total Reward: 329.22, Average Profit: 36.58, Average Distance: 4.77
Episode 2800, Avg Reward: 19.71, Total Reward: 177.36, Average Profit: 19.71, Average Distance: 6.64
Episode 2900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 3000, Avg Reward: 36.34, Total Reward: 327.07, Average Profit: 36.34, Average Distance: 4.36
Episode 3100, Avg Reward: 39.85, Total Reward: 358.68, Average Profit: 39.85, Average Distance: 4.46
Episode 3200, Avg Reward: 38.83, Total Reward: 349.45, Average Profit: 38.83, Average Distance: 4.17
Episode 3300, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 3400, Avg Reward: 19.99, Total Reward: 179.89, Average Profit: 19.99, Average Distance: 6.94
Episode 3500, Avg Reward: 19.99, Total Reward: 179.89, Average Profit: 19.99, Average Distance: 6.94
Episode 3600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 3700, Avg Reward: 34.75, Total Reward: 312.75, Average Profit: 34.75, Average Distance: 5.37
Episode 3800, Avg Reward: 37.47, Total Reward: 337.27, Average Profit: 37.47, Average Distance: 4.91
Episode 3900, Avg Reward: 39.85, Total Reward: 358.68, Average Profit: 39.85, Average Distance: 4.46
Episode 4000, Avg Reward: 32.83, Total Reward: 295.50, Average Profit: 32.83, Average Distance: 5.00
Episode 4100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4300, Avg Reward: 37.66, Total Reward: 338.94, Average Profit: 37.66, Average Distance: 4.85
Episode 4400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4500, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 4900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5200, Avg Reward: 41.36, Total Reward: 372.27, Average Profit: 41.36, Average Distance: 3.82
Episode 5300, Avg Reward: 34.77, Total Reward: 312.94, Average Profit: 34.77, Average Distance: 5.35
Episode 5400, Avg Reward: 41.36, Total Reward: 372.27, Average Profit: 41.36, Average Distance: 3.82
Episode 5500, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 5900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6300, Avg Reward: 37.56, Total Reward: 338.01, Average Profit: 37.56, Average Distance: 4.18
Episode 6400, Avg Reward: 41.36, Total Reward: 372.27, Average Profit: 41.36, Average Distance: 3.82
Episode 6500, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 6900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7300, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7500, Avg Reward: 28.73, Total Reward: 258.54, Average Profit: 28.73, Average Distance: 5.99
Episode 7600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 7900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8100, Avg Reward: 39.73, Total Reward: 357.59, Average Profit: 39.73, Average Distance: 4.52
Episode 8200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8300, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8500, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 8900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9300, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9400, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9500, Avg Reward: 28.31, Total Reward: 254.80, Average Profit: 28.31, Average Distance: 5.81
Episode 9600, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9700, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9800, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 9900, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 10000, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 10100, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
Episode 10200, Avg Reward: 41.43, Total Reward: 372.87, Average Profit: 41.43, Average Distance: 3.79
