Episode 0,  Reward: 80.51, Profit: 101.57, Distance: 74.54 Loss: 1000.00
Episode 100,  Reward: 228.74, Profit: 277.98, Distance: 52.58 Loss: 2.55
Episode 200,  Reward: 184.85, Profit: 230.16, Distance: 59.18 Loss: 3.13
Episode 300,  Reward: 41.39, Profit: 68.99, Distance: 76.71 Loss: 5.17
Episode 400,  Reward: 219.42, Profit: 259.06, Distance: 53.65 Loss: 4.98
Episode 500,  Reward: 57.29, Profit: 98.77, Distance: 74.73 Loss: 3.89
Episode 600,  Reward: 279.74, Profit: 327.99, Distance: 46.35 Loss: 3.59
Episode 700,  Reward: 164.95, Profit: 214.86, Distance: 61.70 Loss: 2.93
Episode 800,  Reward: 137.16, Profit: 162.67, Distance: 69.06 Loss: 2.39
Episode 900,  Reward: 303.98, Profit: 303.41, Distance: 44.82 Loss: 2.03
Episode 1000,  Reward: 302.91, Profit: 337.27, Distance: 44.18 Loss: 2.12
Episode 1100,  Reward: 143.42, Profit: 153.41, Distance: 59.09 Loss: 1.62
Episode 1200,  Reward: 310.31, Profit: 340.34, Distance: 39.85 Loss: 1.47
Episode 1300,  Reward: 333.34, Profit: 329.13, Distance: 39.67 Loss: 1.54
Episode 1400,  Reward: 249.32, Profit: 290.28, Distance: 52.75 Loss: 2.78
Episode 1500,  Reward: 325.17, Profit: 317.93, Distance: 42.58 Loss: 1.87
Episode 1600,  Reward: 350.57, Profit: 372.87, Distance: 34.10 Loss: 2.89
Episode 1700,  Reward: 111.79, Profit: 176.34, Distance: 66.64 Loss: 2.48
Episode 1800,  Reward: 160.38, Profit: 210.78, Distance: 62.20 Loss: 3.21
Episode 1900,  Reward: 261.38, Profit: 295.29, Distance: 47.92 Loss: 2.43
Episode 2000,  Reward: 240.62, Profit: 254.80, Distance: 52.28 Loss: 2.46
Episode 2100,  Reward: 342.82, Profit: 364.08, Distance: 35.14 Loss: 4.07
Episode 2200,  Reward: 220.32, Profit: 276.65, Distance: 54.43 Loss: 3.55
Episode 2300,  Reward: 330.78, Profit: 357.59, Distance: 40.69 Loss: 2.04
Episode 2400,  Reward: 273.01, Profit: 321.53, Distance: 46.62 Loss: 1.72
Episode 2500,  Reward: 350.32, Profit: 350.09, Distance: 37.21 Loss: 1.14
Episode 2600,  Reward: 302.15, Profit: 351.80, Distance: 42.99 Loss: 2.06
Episode 2700,  Reward: 319.25, Profit: 297.00, Distance: 45.19 Loss: 1.62
Episode 2800,  Reward: 225.72, Profit: 263.17, Distance: 49.24 Loss: 1.80
Episode 2900,  Reward: 271.19, Profit: 304.73, Distance: 45.34 Loss: 2.18
Episode 3000,  Reward: 332.42, Profit: 358.68, Distance: 40.13 Loss: 1.88
Episode 3100,  Reward: 332.42, Profit: 358.68, Distance: 40.13 Loss: 2.99
Episode 3200,  Reward: 343.71, Profit: 349.45, Distance: 37.53 Loss: 2.36
Episode 3300,  Reward: 350.57, Profit: 372.87, Distance: 34.10 Loss: 3.92
Episode 3400,  Reward: 107.25, Profit: 160.17, Distance: 63.71 Loss: 1.07
Episode 3500,  Reward: 62.50, Profit: 107.77, Distance: 71.28 Loss: 2.15
Episode 3600,  Reward: 350.57, Profit: 372.87, Distance: 34.10 Loss: 1.50
Episode 3700,  Reward: 301.84, Profit: 341.43, Distance: 42.93 Loss: 5.43
Episode 3800,  Reward: 298.13, Profit: 301.61, Distance: 48.88 Loss: 2.02
Episode 3900,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 1.82
Episode 4000,  Reward: 304.83, Profit: 323.48, Distance: 44.65 Loss: 1.93
Episode 4100,  Reward: 350.57, Profit: 372.87, Distance: 34.10 Loss: 3.19
Episode 4200,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 1.45
Episode 4300,  Reward: 304.91, Profit: 336.92, Distance: 42.81 Loss: 1.14
Episode 4400,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 3.60
Episode 4500,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 1.51
Episode 4600,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 2.12
Episode 4700,  Reward: 350.57, Profit: 372.87, Distance: 34.10 Loss: 1.45
Episode 4800,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 2.93
Episode 4900,  Reward: 135.58, Profit: 186.53, Distance: 61.74 Loss: 1.93
Episode 5000,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 2.44
Episode 5100,  Reward: 250.25, Profit: 286.05, Distance: 46.60 Loss: 2.82
Episode 5200,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 2.31
Episode 5300,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 3.25
Episode 5400,  Reward: 224.27, Profit: 265.42, Distance: 51.95 Loss: 2.20
Episode 5500,  Reward: 224.27, Profit: 265.42, Distance: 51.95 Loss: 2.37
Episode 5600,  Reward: 208.12, Profit: 259.15, Distance: 54.37 Loss: 5.62
Episode 5700,  Reward: 208.12, Profit: 259.15, Distance: 54.37 Loss: 7.75
Episode 5800,  Reward: 188.47, Profit: 238.84, Distance: 61.16 Loss: 3.12
Episode 5900,  Reward: 302.70, Profit: 335.28, Distance: 43.37 Loss: 3.11
Episode 6000,  Reward: 188.47, Profit: 238.84, Distance: 61.16 Loss: 1.52
Episode 6100,  Reward: 322.74, Profit: 342.94, Distance: 40.99 Loss: 1.17
Episode 6200,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 1.29
Episode 6300,  Reward: 195.31, Profit: 239.65, Distance: 55.14 Loss: 2.20
Episode 6400,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 2.41
Episode 6500,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 3.99
Episode 6600,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 2.24
Episode 6700,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 1.95
Episode 6800,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 0.94
Episode 6900,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 1.31
Episode 7000,  Reward: 294.71, Profit: 326.54, Distance: 43.62 Loss: 2.76
Episode 7100,  Reward: 328.68, Profit: 355.91, Distance: 38.02 Loss: 1.29
Episode 7200,  Reward: 143.83, Profit: 206.80, Distance: 73.76 Loss: 3.24
Episode 7300,  Reward: 18.26, Profit: 91.05, Distance: 83.58 Loss: 6.59
Episode 7400,  Reward: 10.60, Profit: 82.58, Distance: 82.78 Loss: 12.13
Episode 7500,  Reward: 24.24, Profit: 96.02, Distance: 82.57 Loss: 7.24
Episode 7600,  Reward: 74.54, Profit: 142.94, Distance: 79.19 Loss: 5.08
Episode 7700,  Reward: 74.54, Profit: 142.94, Distance: 79.19 Loss: 4.88
Episode 7800,  Reward: 74.54, Profit: 142.94, Distance: 79.19 Loss: 4.91
Episode 7900,  Reward: -12.11, Profit: 49.67, Distance: 86.54 Loss: 14.41
Episode 8000,  Reward: -62.63, Profit: 20.23, Distance: 93.65 Loss: 17.08
Episode 8100,  Reward: -110.36, Profit: -31.19, Distance: 103.94 Loss: 20.78
Episode 8200,  Reward: -110.36, Profit: -31.19, Distance: 103.94 Loss: 35.80
Episode 8300,  Reward: -97.46, Profit: -23.42, Distance: 100.05 Loss: 29.75
Episode 8400,  Reward: -83.83, Profit: -8.46, Distance: 101.37 Loss: 26.20
Episode 8500,  Reward: -43.08, Profit: 36.99, Distance: 90.86 Loss: 38.31
Episode 8600,  Reward: -110.36, Profit: -31.19, Distance: 103.94 Loss: 27.71
Episode 8700,  Reward: -110.36, Profit: -31.19, Distance: 103.94 Loss: 35.87
Episode 8800,  Reward: -118.53, Profit: -38.90, Distance: 104.40 Loss: 43.79
Episode 8900,  Reward: -118.53, Profit: -38.90, Distance: 104.40 Loss: 64.87
Episode 9000,  Reward: -118.53, Profit: -38.90, Distance: 104.40 Loss: 53.45
