Episode 0,  Reward: 125.49, Profit: 149.80, Distance: 61.36 Loss: 1000.00
Episode 100,  Reward: 195.89, Profit: 257.43, Distance: 61.80 Loss: 4.31
Episode 200,  Reward: 194.44, Profit: 253.66, Distance: 59.48 Loss: 9.47
Episode 300,  Reward: 222.77, Profit: 203.26, Distance: 53.69 Loss: 10.98
Episode 400,  Reward: 225.60, Profit: 263.51, Distance: 47.14 Loss: 5.28
Episode 500,  Reward: 244.39, Profit: 204.56, Distance: 47.18 Loss: 6.92
Episode 600,  Reward: 212.38, Profit: 223.11, Distance: 64.47 Loss: 5.35
Episode 700,  Reward: 195.82, Profit: 251.23, Distance: 55.44 Loss: 5.20
Episode 800,  Reward: 238.41, Profit: 233.43, Distance: 48.77 Loss: 4.69
Episode 900,  Reward: 282.48, Profit: 313.81, Distance: 48.58 Loss: 3.51
Episode 1000,  Reward: 201.67, Profit: 257.58, Distance: 55.14 Loss: 2.77
Episode 1100,  Reward: 314.94, Profit: 309.18, Distance: 44.27 Loss: 2.53
Episode 1200,  Reward: 272.78, Profit: 317.42, Distance: 44.66 Loss: 2.58
Episode 1300,  Reward: 204.19, Profit: 263.82, Distance: 58.86 Loss: 2.48
Episode 1400,  Reward: 145.93, Profit: 196.91, Distance: 66.49 Loss: 2.06
Episode 1500,  Reward: 302.71, Profit: 331.40, Distance: 45.93 Loss: 2.52
Episode 1600,  Reward: 212.67, Profit: 214.81, Distance: 52.17 Loss: 1.97
Episode 1700,  Reward: 289.96, Profit: 319.66, Distance: 46.95 Loss: 2.63
Episode 1800,  Reward: 312.08, Profit: 350.52, Distance: 37.68 Loss: 1.26
Episode 1900,  Reward: 290.85, Profit: 319.95, Distance: 46.34 Loss: 2.20
Episode 2000,  Reward: 212.47, Profit: 247.43, Distance: 52.21 Loss: 1.98
Episode 2100,  Reward: 299.21, Profit: 326.49, Distance: 44.53 Loss: 1.62
Episode 2200,  Reward: 277.49, Profit: 318.69, Distance: 40.43 Loss: 1.24
Episode 2300,  Reward: 288.72, Profit: 331.78, Distance: 42.28 Loss: 0.84
Episode 2400,  Reward: 285.00, Profit: 319.60, Distance: 43.82 Loss: 1.38
Episode 2500,  Reward: 297.98, Profit: 338.61, Distance: 39.86 Loss: 1.27
Episode 2600,  Reward: 247.67, Profit: 289.83, Distance: 51.40 Loss: 1.79
Episode 2700,  Reward: 260.23, Profit: 307.83, Distance: 46.84 Loss: 1.43
Episode 2800,  Reward: 209.03, Profit: 261.02, Distance: 58.02 Loss: 3.11
Episode 2900,  Reward: 287.47, Profit: 332.09, Distance: 43.85 Loss: 1.55
Episode 3000,  Reward: 312.32, Profit: 357.76, Distance: 44.67 Loss: 2.75
Episode 3100,  Reward: 240.72, Profit: 289.54, Distance: 49.08 Loss: 3.43
Episode 3200,  Reward: 190.84, Profit: 232.93, Distance: 55.21 Loss: 3.38
Episode 3300,  Reward: 166.06, Profit: 228.81, Distance: 64.33 Loss: 4.87
Episode 3400,  Reward: 73.14, Profit: 123.31, Distance: 75.46 Loss: 13.18
Episode 3500,  Reward: 126.79, Profit: 187.39, Distance: 62.31 Loss: 18.78
Episode 3600,  Reward: 228.71, Profit: 285.23, Distance: 61.40 Loss: 8.34
Episode 3700,  Reward: 386.73, Profit: 419.31, Distance: 31.81 Loss: 8.27
Episode 3800,  Reward: 372.58, Profit: 406.65, Distance: 33.31 Loss: 6.19
Episode 3900,  Reward: 373.81, Profit: 394.54, Distance: 37.97 Loss: 4.24
Episode 4000,  Reward: 331.31, Profit: 367.25, Distance: 41.96 Loss: 3.55
Episode 4100,  Reward: 266.01, Profit: 300.73, Distance: 43.95 Loss: 2.58
Episode 4200,  Reward: 307.56, Profit: 340.98, Distance: 42.66 Loss: 2.10
Episode 4300,  Reward: 304.35, Profit: 334.86, Distance: 47.76 Loss: 2.53
Episode 4400,  Reward: 269.73, Profit: 312.91, Distance: 42.41 Loss: 2.26
Episode 4500,  Reward: 261.87, Profit: 292.52, Distance: 47.89 Loss: 1.89
Episode 4600,  Reward: 251.34, Profit: 243.20, Distance: 49.11 Loss: 1.83
Episode 4700,  Reward: 208.24, Profit: 262.12, Distance: 53.91 Loss: 2.51
Episode 4800,  Reward: 270.97, Profit: 300.79, Distance: 47.07 Loss: 2.74
Episode 4900,  Reward: 270.97, Profit: 300.79, Distance: 47.07 Loss: 1.78
Episode 5000,  Reward: 237.15, Profit: 259.33, Distance: 45.31 Loss: 1.48
Episode 5100,  Reward: 307.51, Profit: 341.33, Distance: 39.85 Loss: 2.83
Episode 5200,  Reward: 298.54, Profit: 336.39, Distance: 42.73 Loss: 2.11
Episode 5300,  Reward: 308.45, Profit: 343.53, Distance: 41.10 Loss: 2.59
Episode 5400,  Reward: 289.46, Profit: 324.66, Distance: 41.23 Loss: 2.13
Episode 5500,  Reward: 371.88, Profit: 399.79, Distance: 32.80 Loss: 2.58
Episode 5600,  Reward: 353.47, Profit: 387.57, Distance: 40.13 Loss: 2.30
Episode 5700,  Reward: 371.63, Profit: 405.24, Distance: 33.65 Loss: 1.46
Episode 5800,  Reward: 352.58, Profit: 385.40, Distance: 38.84 Loss: 2.35
Episode 5900,  Reward: 344.92, Profit: 330.17, Distance: 35.28 Loss: 2.92
Episode 6000,  Reward: 373.81, Profit: 394.54, Distance: 37.97 Loss: 2.81
Episode 6100,  Reward: 373.81, Profit: 394.54, Distance: 37.97 Loss: 2.38
Episode 6200,  Reward: 329.17, Profit: 362.43, Distance: 39.28 Loss: 1.41
Episode 6300,  Reward: 319.87, Profit: 355.62, Distance: 41.78 Loss: 2.48
Episode 6400,  Reward: 329.17, Profit: 362.43, Distance: 39.28 Loss: 1.27
Episode 6500,  Reward: 306.61, Profit: 341.04, Distance: 40.45 Loss: 1.71
Episode 6600,  Reward: 270.97, Profit: 300.79, Distance: 47.07 Loss: 2.06
Episode 6700,  Reward: 290.85, Profit: 319.95, Distance: 46.34 Loss: 0.99
