Episode 0,  Reward: 265.88, Profit: 222.82, Distance: 46.72 Loss: 1000.00
Episode 100,  Reward: 329.12, Profit: 334.47, Distance: 41.45 Loss: 4.19
Episode 200,  Reward: 305.27, Profit: 316.55, Distance: 41.36 Loss: 4.74
Episode 300,  Reward: 263.86, Profit: 319.79, Distance: 56.02 Loss: 4.53
Episode 400,  Reward: 215.73, Profit: 267.00, Distance: 54.70 Loss: 5.55
Episode 500,  Reward: 209.56, Profit: 223.94, Distance: 56.27 Loss: 4.72
Episode 600,  Reward: 248.77, Profit: 270.51, Distance: 51.83 Loss: 4.49
Episode 700,  Reward: 323.43, Profit: 301.66, Distance: 43.27 Loss: 4.26
Episode 800,  Reward: 257.59, Profit: 273.58, Distance: 57.88 Loss: 3.58
Episode 900,  Reward: 264.62, Profit: 289.64, Distance: 51.13 Loss: 2.73
Episode 1000,  Reward: 252.84, Profit: 276.20, Distance: 49.46 Loss: 3.48
Episode 1100,  Reward: 288.93, Profit: 337.23, Distance: 53.91 Loss: 2.57
Episode 1200,  Reward: 241.18, Profit: 289.84, Distance: 54.44 Loss: 3.08
Episode 1300,  Reward: 227.21, Profit: 217.42, Distance: 52.52 Loss: 3.83
Episode 1400,  Reward: 317.54, Profit: 328.48, Distance: 40.71 Loss: 5.41
Episode 1500,  Reward: 306.49, Profit: 316.90, Distance: 40.19 Loss: 1.94
Episode 1600,  Reward: 330.51, Profit: 344.21, Distance: 43.48 Loss: 2.90
Episode 1700,  Reward: 324.52, Profit: 334.15, Distance: 39.40 Loss: 2.35
Episode 1800,  Reward: 327.88, Profit: 342.39, Distance: 40.32 Loss: 2.77
Episode 1900,  Reward: 257.69, Profit: 274.10, Distance: 46.49 Loss: 3.24
Episode 2000,  Reward: 333.75, Profit: 368.63, Distance: 40.68 Loss: 1.41
Episode 2100,  Reward: 303.87, Profit: 319.66, Distance: 45.57 Loss: 1.71
Episode 2200,  Reward: 319.32, Profit: 335.07, Distance: 45.52 Loss: 3.56
Episode 2300,  Reward: 330.34, Profit: 340.86, Distance: 40.30 Loss: 4.38
Episode 2400,  Reward: 337.53, Profit: 343.55, Distance: 35.80 Loss: 2.42
Episode 2500,  Reward: 315.27, Profit: 322.61, Distance: 40.78 Loss: 2.79
Episode 2600,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.81
Episode 2700,  Reward: 240.03, Profit: 270.07, Distance: 53.48 Loss: 1.77
Episode 2800,  Reward: 230.63, Profit: 271.70, Distance: 49.66 Loss: 4.31
Episode 2900,  Reward: 352.01, Profit: 358.35, Distance: 36.43 Loss: 2.00
Episode 3000,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.84
Episode 3100,  Reward: 319.62, Profit: 330.30, Distance: 40.46 Loss: 2.85
Episode 3200,  Reward: 314.90, Profit: 322.63, Distance: 41.17 Loss: 2.19
Episode 3300,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.82
Episode 3400,  Reward: 219.67, Profit: 250.28, Distance: 56.22 Loss: 1.67
Episode 3500,  Reward: 361.59, Profit: 364.94, Distance: 33.14 Loss: 1.35
