Episode 0,  Reward: 111.27, Profit: 161.46, Distance: 77.41 Loss: 1000.00
Episode 100,  Reward: 70.67, Profit: 131.73, Distance: 77.27 Loss: 1.94
Episode 200,  Reward: 158.18, Profit: 190.88, Distance: 78.68 Loss: 1.92
Episode 300,  Reward: 59.65, Profit: 139.18, Distance: 80.16 Loss: 3.16
Episode 400,  Reward: 138.80, Profit: 182.57, Distance: 69.75 Loss: 4.26
Episode 500,  Reward: 262.98, Profit: 311.78, Distance: 49.73 Loss: 5.12
Episode 600,  Reward: 140.38, Profit: 210.84, Distance: 69.22 Loss: 3.48
Episode 700,  Reward: 217.59, Profit: 274.48, Distance: 57.82 Loss: 2.36
Episode 800,  Reward: 139.69, Profit: 172.59, Distance: 60.87 Loss: 2.51
Episode 900,  Reward: 37.41, Profit: 109.62, Distance: 77.13 Loss: 1.69
Episode 1000,  Reward: 229.62, Profit: 269.39, Distance: 54.07 Loss: 2.20
Episode 1100,  Reward: 229.66, Profit: 292.76, Distance: 59.53 Loss: 1.30
Episode 1200,  Reward: 147.03, Profit: 219.44, Distance: 68.83 Loss: 0.93
Episode 1300,  Reward: 297.85, Profit: 354.83, Distance: 51.27 Loss: 1.84
Episode 1400,  Reward: 290.92, Profit: 284.33, Distance: 52.76 Loss: 1.16
Episode 1500,  Reward: 213.68, Profit: 198.95, Distance: 65.14 Loss: 2.03
Episode 1600,  Reward: 243.72, Profit: 300.05, Distance: 51.19 Loss: 1.24
Episode 1700,  Reward: 123.46, Profit: 197.28, Distance: 74.74 Loss: 1.77
Episode 1800,  Reward: 228.32, Profit: 266.47, Distance: 64.14 Loss: 1.21
Episode 1900,  Reward: 241.15, Profit: 283.64, Distance: 60.46 Loss: 1.11
Episode 2000,  Reward: 249.26, Profit: 309.07, Distance: 54.11 Loss: 1.33
Episode 2100,  Reward: 193.08, Profit: 251.51, Distance: 74.64 Loss: 0.89
Episode 2200,  Reward: 179.47, Profit: 223.67, Distance: 70.18 Loss: 1.08
Episode 2300,  Reward: 271.67, Profit: 306.88, Distance: 49.51 Loss: 1.56
Episode 2400,  Reward: 244.35, Profit: 277.89, Distance: 59.52 Loss: 1.61
Episode 2500,  Reward: 250.20, Profit: 291.98, Distance: 56.96 Loss: 1.57
Episode 2600,  Reward: 190.38, Profit: 247.09, Distance: 57.64 Loss: 1.07
Episode 2700,  Reward: 287.98, Profit: 338.46, Distance: 49.25 Loss: 1.10
