Episode 0,  Reward: 277.18, Profit: 285.42, Distance: 41.59 Loss: 1000.00
Episode 100,  Reward: 265.73, Profit: 293.04, Distance: 45.29 Loss: 4.97
Episode 200,  Reward: 356.12, Profit: 332.29, Distance: 37.12 Loss: 13.08
Episode 300,  Reward: 225.94, Profit: 213.11, Distance: 52.32 Loss: 22.98
Episode 400,  Reward: 375.81, Profit: 366.70, Distance: 36.84 Loss: 23.35
Episode 500,  Reward: 272.98, Profit: 304.15, Distance: 46.51 Loss: 14.40
Episode 600,  Reward: 285.74, Profit: 308.32, Distance: 43.10 Loss: 6.86
Episode 700,  Reward: 316.86, Profit: 333.71, Distance: 37.37 Loss: 4.33
Episode 800,  Reward: 295.81, Profit: 327.24, Distance: 45.76 Loss: 3.82
Episode 900,  Reward: 250.25, Profit: 229.33, Distance: 44.99 Loss: 5.01
Episode 1000,  Reward: 337.67, Profit: 321.17, Distance: 38.84 Loss: 5.78
Episode 1100,  Reward: 333.76, Profit: 346.14, Distance: 31.64 Loss: 2.44
Episode 1200,  Reward: 360.17, Profit: 366.07, Distance: 36.43 Loss: 3.07
Episode 1300,  Reward: 345.76, Profit: 373.66, Distance: 35.88 Loss: 4.01
Episode 1400,  Reward: 340.59, Profit: 372.86, Distance: 40.24 Loss: 1.83
Episode 1500,  Reward: 363.49, Profit: 375.55, Distance: 32.58 Loss: 2.67
Episode 1600,  Reward: 327.83, Profit: 356.65, Distance: 36.80 Loss: 1.89
Episode 1700,  Reward: 308.57, Profit: 340.32, Distance: 39.73 Loss: 2.74
Episode 1800,  Reward: 347.10, Profit: 361.54, Distance: 35.13 Loss: 1.95
Episode 1900,  Reward: 351.77, Profit: 377.37, Distance: 39.93 Loss: 3.65
Episode 2000,  Reward: 333.18, Profit: 362.13, Distance: 44.29 Loss: 1.96
Episode 2100,  Reward: 329.78, Profit: 360.85, Distance: 39.05 Loss: 1.73
Episode 2200,  Reward: 312.81, Profit: 332.77, Distance: 40.65 Loss: 1.96
Episode 2300,  Reward: 367.26, Profit: 379.53, Distance: 32.96 Loss: 2.98
Episode 2400,  Reward: 358.48, Profit: 369.02, Distance: 31.23 Loss: 2.33
Episode 2500,  Reward: 352.98, Profit: 389.67, Distance: 37.38 Loss: 2.61
Episode 2600,  Reward: 338.55, Profit: 366.38, Distance: 35.81 Loss: 1.98
Episode 2700,  Reward: 342.85, Profit: 373.15, Distance: 38.28 Loss: 1.66
Episode 2800,  Reward: 293.61, Profit: 328.78, Distance: 43.14 Loss: 2.37
Episode 2900,  Reward: 342.85, Profit: 373.15, Distance: 38.28 Loss: 4.24
Episode 3000,  Reward: 353.68, Profit: 382.96, Distance: 37.25 Loss: 1.73
Episode 3100,  Reward: 311.33, Profit: 350.47, Distance: 39.82 Loss: 1.36
Episode 3200,  Reward: 292.74, Profit: 319.43, Distance: 41.03 Loss: 1.78
Episode 3300,  Reward: 271.64, Profit: 300.17, Distance: 42.51 Loss: 1.86
Episode 3400,  Reward: 293.95, Profit: 288.61, Distance: 43.93 Loss: 1.86
Episode 3500,  Reward: 342.85, Profit: 373.15, Distance: 38.28 Loss: 3.35
Episode 3600,  Reward: 348.50, Profit: 380.05, Distance: 39.52 Loss: 2.01
Episode 3700,  Reward: 342.85, Profit: 373.15, Distance: 38.28 Loss: 2.08
Episode 3800,  Reward: 316.87, Profit: 337.15, Distance: 40.96 Loss: 3.17
Episode 3900,  Reward: 315.98, Profit: 349.58, Distance: 41.57 Loss: 1.95
Episode 4000,  Reward: 305.50, Profit: 324.72, Distance: 39.91 Loss: 1.88
Episode 4100,  Reward: 315.98, Profit: 349.58, Distance: 41.57 Loss: 3.22
Episode 4200,  Reward: 304.35, Profit: 342.20, Distance: 45.82 Loss: 1.73
Episode 4300,  Reward: 341.94, Profit: 372.35, Distance: 38.39 Loss: 1.51
Episode 4400,  Reward: 341.94, Profit: 372.35, Distance: 38.39 Loss: 3.48
Episode 4500,  Reward: 341.94, Profit: 372.35, Distance: 38.39 Loss: 3.33
Episode 4600,  Reward: 354.14, Profit: 377.84, Distance: 38.04 Loss: 1.64
Episode 4700,  Reward: 286.94, Profit: 329.27, Distance: 50.31 Loss: 1.56
Episode 4800,  Reward: 316.50, Profit: 352.71, Distance: 44.19 Loss: 4.55
Episode 4900,  Reward: 321.63, Profit: 356.47, Distance: 42.82 Loss: 1.38
Episode 5000,  Reward: 340.39, Profit: 355.96, Distance: 36.25 Loss: 4.43
Episode 5100,  Reward: 327.67, Profit: 369.60, Distance: 42.61 Loss: 1.88
Episode 5200,  Reward: 321.63, Profit: 356.47, Distance: 42.82 Loss: 1.20
Episode 5300,  Reward: 347.11, Profit: 375.02, Distance: 35.89 Loss: 2.80
Episode 5400,  Reward: 321.63, Profit: 356.47, Distance: 42.82 Loss: 2.08
Episode 5500,  Reward: 321.63, Profit: 356.47, Distance: 42.82 Loss: 3.72
Episode 5600,  Reward: 341.94, Profit: 372.35, Distance: 38.39 Loss: 1.73
Episode 5700,  Reward: 341.94, Profit: 372.35, Distance: 38.39 Loss: 1.12
Episode 5800,  Reward: 341.94, Profit: 372.35, Distance: 38.39 Loss: 1.19
Episode 5900,  Reward: 341.94, Profit: 372.35, Distance: 38.39 Loss: 3.17
Episode 6000,  Reward: 320.94, Profit: 362.68, Distance: 46.07 Loss: 2.46
Episode 6100,  Reward: 320.94, Profit: 362.68, Distance: 46.07 Loss: 1.22
Episode 6200,  Reward: 327.67, Profit: 369.60, Distance: 42.61 Loss: 1.50
Episode 6300,  Reward: 327.67, Profit: 369.60, Distance: 42.61 Loss: 1.93
Episode 6400,  Reward: 334.03, Profit: 349.02, Distance: 35.51 Loss: 2.19
Episode 6500,  Reward: 320.94, Profit: 362.68, Distance: 46.07 Loss: 0.82
Episode 6600,  Reward: 347.11, Profit: 375.02, Distance: 35.89 Loss: 2.18
Episode 6700,  Reward: 320.94, Profit: 362.68, Distance: 46.07 Loss: 1.84
Episode 6800,  Reward: 321.63, Profit: 356.47, Distance: 42.82 Loss: 1.28
Episode 6900,  Reward: 361.22, Profit: 372.36, Distance: 31.66 Loss: 2.83
Episode 7000,  Reward: 327.67, Profit: 369.60, Distance: 42.61 Loss: 2.09
Episode 7100,  Reward: 327.67, Profit: 369.60, Distance: 42.61 Loss: 1.89
Episode 7200,  Reward: 212.86, Profit: 262.16, Distance: 53.64 Loss: 2.93
Episode 7300,  Reward: 314.44, Profit: 359.61, Distance: 46.25 Loss: 6.13
Episode 7400,  Reward: 317.88, Profit: 359.03, Distance: 41.84 Loss: 1.95
Episode 7500,  Reward: 333.16, Profit: 352.17, Distance: 39.69 Loss: 2.15
Episode 7600,  Reward: 333.16, Profit: 352.17, Distance: 39.69 Loss: 2.80
Episode 7700,  Reward: 332.08, Profit: 371.63, Distance: 40.24 Loss: 2.39
Episode 7800,  Reward: 332.08, Profit: 371.63, Distance: 40.24 Loss: 1.68
Episode 7900,  Reward: 340.39, Profit: 355.96, Distance: 36.25 Loss: 1.50
Episode 8000,  Reward: 340.39, Profit: 355.96, Distance: 36.25 Loss: 3.04
Episode 8100,  Reward: 327.86, Profit: 345.14, Distance: 37.97 Loss: 2.31
Episode 8200,  Reward: 317.06, Profit: 357.03, Distance: 40.65 Loss: 2.17
Episode 8300,  Reward: 340.39, Profit: 355.96, Distance: 36.25 Loss: 5.09
Episode 8400,  Reward: 327.67, Profit: 369.60, Distance: 42.61 Loss: 1.31
Episode 8500,  Reward: 332.08, Profit: 371.63, Distance: 40.24 Loss: 1.10
Episode 8600,  Reward: 332.08, Profit: 371.63, Distance: 40.24 Loss: 1.71
Episode 8700,  Reward: 299.17, Profit: 341.31, Distance: 46.48 Loss: 3.01
Episode 8800,  Reward: 236.86, Profit: 286.41, Distance: 50.24 Loss: 7.59
Episode 8900,  Reward: 236.86, Profit: 286.41, Distance: 50.24 Loss: 26.78
319.94944772443506
Model saved to model.pth
