Episode 0,  Reward: 159.04, Profit: 181.94, Distance: 67.66 Loss: 1000.00
Episode 100,  Reward: -0.18, Profit: 33.88, Distance: 85.60 Loss: 1.41
Episode 200,  Reward: 38.17, Profit: 115.87, Distance: 75.05 Loss: 2.69
Episode 300,  Reward: 189.03, Profit: 216.80, Distance: 69.64 Loss: 5.52
Episode 400,  Reward: 162.15, Profit: 204.30, Distance: 66.14 Loss: 6.04
Episode 500,  Reward: 108.15, Profit: 157.74, Distance: 73.72 Loss: 2.42
Episode 600,  Reward: 225.51, Profit: 276.26, Distance: 60.75 Loss: 5.32
Episode 700,  Reward: 47.11, Profit: 122.50, Distance: 77.25 Loss: 6.98
Episode 800,  Reward: 43.18, Profit: 108.74, Distance: 79.69 Loss: 5.54
Episode 900,  Reward: 36.87, Profit: 107.60, Distance: 75.75 Loss: 6.36
Episode 1000,  Reward: 54.35, Profit: 130.29, Distance: 73.28 Loss: 7.10
Episode 1100,  Reward: 22.41, Profit: 95.13, Distance: 77.74 Loss: 4.03
Episode 1200,  Reward: 114.70, Profit: 179.56, Distance: 69.89 Loss: 3.71
Episode 1300,  Reward: 13.16, Profit: 55.40, Distance: 84.11 Loss: 2.34
Episode 1400,  Reward: 214.13, Profit: 258.81, Distance: 59.44 Loss: 2.59
Episode 1500,  Reward: 183.27, Profit: 221.87, Distance: 65.94 Loss: 3.17
Episode 1600,  Reward: 195.30, Profit: 244.53, Distance: 58.43 Loss: 2.57
Episode 1700,  Reward: 166.54, Profit: 221.76, Distance: 64.41 Loss: 2.21
Episode 1800,  Reward: 167.98, Profit: 231.70, Distance: 61.28 Loss: 2.30
Episode 1900,  Reward: 267.96, Profit: 286.36, Distance: 47.60 Loss: 2.21
Episode 2000,  Reward: 246.34, Profit: 273.00, Distance: 55.02 Loss: 1.06
Episode 2100,  Reward: 214.39, Profit: 241.77, Distance: 56.58 Loss: 1.95
Episode 2200,  Reward: 263.00, Profit: 286.72, Distance: 52.92 Loss: 2.55
Episode 2300,  Reward: 181.04, Profit: 226.53, Distance: 54.68 Loss: 1.33
Episode 2400,  Reward: 173.57, Profit: 201.47, Distance: 58.57 Loss: 2.23
Episode 2500,  Reward: 144.34, Profit: 180.96, Distance: 65.82 Loss: 1.32
Episode 2600,  Reward: 227.45, Profit: 274.94, Distance: 56.68 Loss: 1.57
Episode 2700,  Reward: 127.13, Profit: 187.66, Distance: 65.55 Loss: 1.41
Episode 2800,  Reward: 242.93, Profit: 285.42, Distance: 56.62 Loss: 1.20
Episode 2900,  Reward: 167.60, Profit: 229.76, Distance: 67.19 Loss: 1.11
Episode 3000,  Reward: 183.80, Profit: 246.73, Distance: 60.28 Loss: 1.32
Episode 3100,  Reward: 141.05, Profit: 204.36, Distance: 68.33 Loss: 2.53
Episode 3200,  Reward: 152.49, Profit: 210.47, Distance: 63.01 Loss: 2.59
Episode 3300,  Reward: 152.49, Profit: 210.47, Distance: 63.01 Loss: 1.64
Episode 3400,  Reward: 152.49, Profit: 210.47, Distance: 63.01 Loss: 1.39
Episode 3500,  Reward: 159.33, Profit: 219.63, Distance: 65.32 Loss: 1.54
Episode 3600,  Reward: 178.36, Profit: 232.79, Distance: 59.46 Loss: 1.45
Episode 3700,  Reward: 159.33, Profit: 219.63, Distance: 65.32 Loss: 1.21
Episode 3800,  Reward: 110.47, Profit: 161.94, Distance: 66.49 Loss: 1.29
Episode 3900,  Reward: 103.12, Profit: 166.96, Distance: 69.99 Loss: 0.99
