Episode 0,  Reward: 230.97, Profit: 208.91, Distance: 55.13 Loss: 1000.00
Episode 100,  Reward: 245.27, Profit: 255.11, Distance: 49.99 Loss: 7.89
Episode 200,  Reward: 265.79, Profit: 291.05, Distance: 52.86 Loss: 16.98
Episode 300,  Reward: 148.91, Profit: 174.41, Distance: 59.83 Loss: 27.65
Episode 400,  Reward: 145.87, Profit: 177.99, Distance: 60.66 Loss: 30.34
Episode 500,  Reward: 225.07, Profit: 271.10, Distance: 54.57 Loss: 21.23
Episode 600,  Reward: 210.40, Profit: 268.38, Distance: 61.39 Loss: 13.69
Episode 700,  Reward: 96.97, Profit: 99.53, Distance: 65.97 Loss: 9.46
Episode 800,  Reward: 167.46, Profit: 163.93, Distance: 56.63 Loss: 10.06
Episode 900,  Reward: 268.75, Profit: 281.18, Distance: 43.55 Loss: 13.89
Episode 1000,  Reward: 275.34, Profit: 290.34, Distance: 45.91 Loss: 11.71
Episode 1100,  Reward: 270.43, Profit: 261.29, Distance: 48.88 Loss: 11.65
Episode 1200,  Reward: 288.08, Profit: 284.48, Distance: 47.53 Loss: 12.22
Episode 1300,  Reward: 274.86, Profit: 284.13, Distance: 43.60 Loss: 10.16
Episode 1400,  Reward: 281.88, Profit: 320.65, Distance: 48.69 Loss: 9.20
Episode 1500,  Reward: 344.80, Profit: 331.45, Distance: 34.73 Loss: 8.62
Episode 1600,  Reward: 325.12, Profit: 329.90, Distance: 39.11 Loss: 5.84
Episode 1700,  Reward: 306.46, Profit: 298.99, Distance: 40.61 Loss: 11.73
Episode 1800,  Reward: 330.74, Profit: 296.78, Distance: 37.56 Loss: 7.12
Episode 1900,  Reward: 353.32, Profit: 356.59, Distance: 35.52 Loss: 12.78
Episode 2000,  Reward: 279.64, Profit: 295.41, Distance: 50.09 Loss: 5.83
Episode 2100,  Reward: 272.55, Profit: 279.73, Distance: 43.38 Loss: 8.91
Episode 2200,  Reward: 368.44, Profit: 386.01, Distance: 31.56 Loss: 13.27
Episode 2300,  Reward: 374.75, Profit: 371.30, Distance: 30.88 Loss: 12.93
