Episode 0,  Reward: 280.16, Profit: 308.39, Distance: 46.91 Loss: 1000.00
Episode 100,  Reward: 196.91, Profit: 228.54, Distance: 54.79 Loss: 0.29
Episode 200,  Reward: 136.39, Profit: 182.59, Distance: 65.73 Loss: 1.79
Episode 300,  Reward: 146.73, Profit: 169.63, Distance: 64.90 Loss: 2.53
Episode 400,  Reward: 206.74, Profit: 203.47, Distance: 60.24 Loss: 2.64
Episode 500,  Reward: 149.98, Profit: 203.04, Distance: 70.35 Loss: 3.53
Episode 600,  Reward: 309.33, Profit: 340.18, Distance: 48.14 Loss: 4.39
Episode 700,  Reward: 156.13, Profit: 214.25, Distance: 62.89 Loss: 4.67
Episode 800,  Reward: 141.54, Profit: 201.54, Distance: 66.36 Loss: 4.78
Episode 900,  Reward: 239.10, Profit: 273.74, Distance: 52.14 Loss: 4.10
Episode 1000,  Reward: 237.58, Profit: 281.52, Distance: 51.44 Loss: 3.40
Episode 1100,  Reward: 243.46, Profit: 288.94, Distance: 57.86 Loss: 2.40
Episode 1200,  Reward: 307.69, Profit: 344.89, Distance: 41.97 Loss: 4.94
Episode 1300,  Reward: 382.08, Profit: 364.84, Distance: 27.53 Loss: 2.15
Episode 1400,  Reward: 329.21, Profit: 323.70, Distance: 36.87 Loss: 4.16
Episode 1500,  Reward: 300.04, Profit: 334.85, Distance: 42.31 Loss: 1.94
Episode 1600,  Reward: 229.91, Profit: 275.42, Distance: 57.88 Loss: 5.55
Episode 1700,  Reward: 239.13, Profit: 272.64, Distance: 51.01 Loss: 2.47
Episode 1800,  Reward: 272.56, Profit: 265.58, Distance: 50.32 Loss: 5.26
Episode 1900,  Reward: 374.37, Profit: 364.56, Distance: 34.97 Loss: 2.59
Episode 2000,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 3.24
Episode 2100,  Reward: 329.27, Profit: 357.80, Distance: 36.03 Loss: 6.18
Episode 2200,  Reward: 376.57, Profit: 362.34, Distance: 30.55 Loss: 3.38
Episode 2300,  Reward: 191.96, Profit: 206.49, Distance: 56.91 Loss: 2.86
Episode 2400,  Reward: 308.53, Profit: 344.24, Distance: 42.19 Loss: 3.85
Episode 2500,  Reward: 177.08, Profit: 195.32, Distance: 60.24 Loss: 3.55
Episode 2600,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 4.30
Episode 2700,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 3.72
Episode 2800,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 3.38
Episode 2900,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 3.26
Episode 3000,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 3.20
Episode 3100,  Reward: 326.96, Profit: 323.69, Distance: 39.11 Loss: 3.91
Episode 3200,  Reward: 365.23, Profit: 350.63, Distance: 30.17 Loss: 6.16
Episode 3300,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 5.02
Episode 3400,  Reward: 223.75, Profit: 233.55, Distance: 55.59 Loss: 3.86
Episode 3500,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 4.74
Episode 3600,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 4.72
Episode 3700,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 5.86
Episode 3800,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 3.24
Episode 3900,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 4.96
Episode 4000,  Reward: 365.23, Profit: 350.63, Distance: 30.17 Loss: 3.94
Episode 4100,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 4.85
Episode 4200,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 8.83
Episode 4300,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 5.75
Episode 4400,  Reward: 232.44, Profit: 271.04, Distance: 50.97 Loss: 3.87
Episode 4500,  Reward: 365.23, Profit: 350.63, Distance: 30.17 Loss: 4.36
Episode 4600,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 3.68
Episode 4700,  Reward: 270.40, Profit: 314.15, Distance: 50.23 Loss: 9.00
Episode 4800,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 4.66
Episode 4900,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 5.08
Episode 5000,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 4.20
Episode 5100,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 4.57
Episode 5200,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 3.88
Episode 5300,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 4.71
Episode 5400,  Reward: 374.41, Profit: 399.91, Distance: 33.01 Loss: 4.69
297.5838415804776
Model saved to model.pth
